niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,architecture_1_act__softmodulusQ/,0.00011767439564409935,9.981327653279414e-5,0.14364221811337508,0.1331183138174525
2,architecture_1_act__softmodulusQ/,0.00011772027203047939,9.985165030677886e-5,0.14363954744234278,0.13310994688603464
3,architecture_1_act__softmodulusQ/,0.0003939960808017451,0.0003340491711555472,0.1461424507216598,0.13126281817361493
4,architecture_1_act__softmodulusQ/,0.0006788002063105992,0.0006307288918274343,0.10253602525356613,0.11583660697726615
5,architecture_1_act__softmodulusQ/,0.0007230278402761622,0.0006784969276800855,0.1001543728595005,0.1278831234950178
6,architecture_1_act__softmodulusQ/,0.0004078839592402968,0.00039898228525988747,0.09948677623968566,0.12688398229086328
7,architecture_1_act__softmodulusQ/,7.508299534949866e-5,0.00010996226197655377,0.10669219086358848,0.1366858505088072
8,architecture_1_act__softmodulusQ/,7.558001812485897e-5,0.00011056062012470999,0.10748211099419931,0.13749142450537744
9,architecture_1_act__softmodulusQ/,8.108468073578393e-5,0.00011608262968038798,0.11362040018405777,0.1434887280353972
10,architecture_1_act__softmodulusQ/,8.054654092269228e-5,0.00011638882592865461,0.11223219630102726,0.14306674047966916
11,architecture_1_act__softmodulusQ/,7.979316407396093e-5,0.00011743092432039004,0.10271236268749849,0.13148263759640177
12,architecture_1_act__softmodulusQ/,8.978189054270131e-5,0.0001241143664886552,0.10438166034547484,0.1269645744474788
13,architecture_1_act__softmodulusQ/,0.00010458022135272255,0.00013071372943707261,0.11199489980905787,0.12557137811695665
14,architecture_1_act__softmodulusQ/,0.00011513087795661895,0.00013323508254109792,0.11825831904092601,0.12624933380625517
15,architecture_1_act__softmodulusQ/,0.00011676202450312421,0.00012968097761264895,0.12479213438135757,0.12975554539412645
16,architecture_1_act__softmodulusQ/,9.280762480933888e-5,0.00010969969533847649,0.12933663422413727,0.135309362324062
17,architecture_1_act__softmodulusQ/,8.77122839449118e-5,0.00010557440802901096,0.12884310752153402,0.13527407788949866
18,architecture_1_act__softmodulusQ/,8.661390944124024e-5,0.0001052192227423551,0.12779994487283017,0.13494754351160845
19,architecture_1_act__softmodulusQ/,8.660566966466073e-5,0.00010526957759163484,0.1277915560532611,0.13499031302213493
20,architecture_1_act__softmodulusQ/,8.654283032628378e-5,0.0001052310639648968,0.1276793135979799,0.13493047718550524
21,architecture_1_act__softmodulusQ/,8.654345563796674e-5,0.00010523074261404679,0.12767972850019302,0.13493017615596065
22,architecture_1_act__softmodulusQ/,8.650000899706426e-5,0.00010518852151736897,0.12757498721724528,0.13486039911053707
23,architecture_1_act__softmodulusQ/,8.650000899706426e-5,0.00010518852151736897,0.12757498721724528,0.13486039911053707
24,architecture_1_act__softmodulusQ/,8.650000899706426e-5,0.00010518852151736897,0.12757498721724528,0.13486039911053707
