niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,architecture_1_act__tanh/,0.00011771662684324953,9.984641090906256e-5,0.1436475751750479,0.13311373619489217
2,architecture_1_act__tanh/,0.00011767605763085482,9.981287139871779e-5,0.1436527942041263,0.13312227281373792
3,architecture_1_act__tanh/,0.00016495337044447698,0.00016661469782420796,0.1712795174821675,0.17300101068137785
4,architecture_1_act__tanh/,8.372639147745004e-5,0.00011230137128187183,0.10044087953910469,0.11761792850292303
5,architecture_1_act__tanh/,6.967326068774247e-5,9.886504634474253e-5,0.10102130939060085,0.11687490134442
6,architecture_1_act__tanh/,6.310567645857034e-5,9.641462967567434e-5,0.09853930461871499,0.12117257908703259
7,architecture_1_act__tanh/,7.798126984003848e-5,0.0001121928763149574,0.09958687107083737,0.12802528483937684
8,architecture_1_act__tanh/,7.798965866329887e-5,0.0001125465840516116,0.10961056719252356,0.13917010307550753
9,architecture_1_act__tanh/,7.775908233321155e-5,0.00011245720156207887,0.1091635249627516,0.13888162317402356
10,architecture_1_act__tanh/,7.848522396724695e-5,0.00011324893657265017,0.10886081654475767,0.13870255642112866
11,architecture_1_act__tanh/,7.734067122290406e-5,0.00011250314581328324,0.10791306730512695,0.1380711016296063
12,architecture_1_act__tanh/,7.673233903706751e-5,0.00011204238574326189,0.10759856006194746,0.13785071744910343
13,architecture_1_act__tanh/,7.409214398209512e-5,0.00010999269408278861,0.10601333915089999,0.13666401005191722
14,architecture_1_act__tanh/,7.229807317081678e-5,0.00010902837430686954,0.10367058395589134,0.1346704305967487
15,architecture_1_act__tanh/,7.378170960511595e-5,0.00011066735313740979,0.10202575961511763,0.13274709579257482
16,architecture_1_act__tanh/,6.855857309853158e-5,0.00010474466543272594,0.1016425695997394,0.1275397623958031
17,architecture_1_act__tanh/,6.949339563706726e-5,0.00010537365603260032,0.10186388275836213,0.127278585603363
18,architecture_1_act__tanh/,6.37267498287685e-5,0.00010112267926719808,0.10244296008215892,0.12660567583633606
19,architecture_1_act__tanh/,8.179070935046308e-5,9.469984780247363e-5,0.12179019044002748,0.12445804251407871
20,architecture_1_act__tanh/,8.587094052117612e-5,0.00010012706803717282,0.1223420409092102,0.1257037156898976
21,architecture_1_act__tanh/,8.980088991238142e-5,0.00010795702917790557,0.12192495583179738,0.12813387068352428
22,architecture_1_act__tanh/,7.915363025336007e-5,0.00010131195500091249,0.12158181359199309,0.12938061756671335
23,architecture_1_act__tanh/,7.901011037315421e-5,0.00010268368668296352,0.12150699899168199,0.12988328851815903
24,architecture_1_act__tanh/,8.881183034991974e-5,0.00010686177967315344,0.12749261603975204,0.13512542854866552
25,architecture_1_act__tanh/,9.168539123766847e-5,0.0001143968441184383,0.12929890215603773,0.13609746003687376
26,architecture_1_act__tanh/,9.729520787822629e-5,0.00012204401252388545,0.1291371499288934,0.13603775802676632
27,architecture_1_act__tanh/,0.00010565715160788386,0.0001315426518535544,0.12882005986333203,0.1358206991619501
28,architecture_1_act__tanh/,9.412844758820884e-5,0.00011688741178961195,0.12747183050751967,0.13474182033134688
29,architecture_1_act__tanh/,9.562571399725567e-5,0.00011869481916789167,0.1274592324881047,0.13473653557803447
30,architecture_1_act__tanh/,9.881272205998604e-5,0.0001224738904872463,0.1274684436291437,0.1347570526059948
31,architecture_1_act__tanh/,0.00010650493649943233,0.0001311149920174616,0.1275110116661876,0.13478521827271162
32,architecture_1_act__tanh/,0.00010646432485809323,0.00013107155334539752,0.12751110232212665,0.13478464453272207
33,architecture_1_act__tanh/,0.00010646451448446289,0.0001310716144912289,0.1275110106098742,0.13478469527592232
34,architecture_1_act__tanh/,0.0001064643789838903,0.00013107148787795125,0.12751097298453615,0.13478467204860028
35,architecture_1_act__tanh/,0.00010646371794176223,0.00013107106998803373,0.12751128079447094,0.1347850396300382
36,architecture_1_act__tanh/,0.0001064636422870551,0.00013107092060308568,0.12751136466985802,0.13478503773322129
37,architecture_1_act__tanh/,0.00010646363451414758,0.00013107090907194265,0.12751136466973934,0.1347850378487846
38,architecture_1_act__tanh/,0.00010646363451414758,0.00013107090907194265,0.12751136466973934,0.1347850378487846
39,architecture_1_act__tanh/,0.00010646363451414758,0.00013107090907194265,0.12751136466973934,0.1347850378487846
40,architecture_1_act__tanh/,0.00019498874444013464,0.00022138084886334132,0.1274016455148298,0.13474405531909178
41,architecture_1_act__tanh/,9.390374781897521e-5,0.0001102077366485471,0.1275470579641114,0.1348850928716656
42,architecture_1_act__tanh/,8.65342213906943e-5,0.0001082644532310125,0.1257374432657483,0.13552806009865642
43,architecture_1_act__tanh/,8.275629595168826e-5,0.00010931696146392759,0.12457031492234259,0.13638895296588266
44,architecture_1_act__tanh/,8.688638596680426e-5,0.00011489550693067272,0.12469793474475069,0.13621780035672135
45,architecture_1_act__tanh/,0.00010139471029910436,0.00013129377199791358,0.1249542152656719,0.1358953521504738
46,architecture_1_act__tanh/,9.832586362431978e-5,0.0001275819956123472,0.1249510708536295,0.1359119190769286
47,architecture_1_act__tanh/,9.623652682696303e-5,0.00012482039957439423,0.12493138570750924,0.13594132506940557
48,architecture_1_act__tanh/,8.91425761265764e-5,0.00011531594368565148,0.12494227874106988,0.13597223116620183
49,architecture_1_act__tanh/,8.381813501179237e-5,0.00010855239325665519,0.12496469264098449,0.13600344323269586
50,architecture_1_act__tanh/,8.289637510078903e-5,0.00010747615964447361,0.12498292160134654,0.1360044249689373
51,architecture_1_act__tanh/,8.233786687686031e-5,0.00010687202316824741,0.12505672121039368,0.1359928416562517
52,architecture_1_act__tanh/,8.261255874443883e-5,0.00010716504441167126,0.12509989293165885,0.13600117695904904
53,architecture_1_act__tanh/,8.2529350461259e-5,0.00010710457374975346,0.1250785577216589,0.13601349653426348
54,architecture_1_act__tanh/,8.244003791596733e-5,0.00010703920386234807,0.12505394389907726,0.13602751361580784
55,architecture_1_act__tanh/,8.244004280284222e-5,0.0001070392090230627,0.12505402706763463,0.1360275522298987
56,architecture_1_act__tanh/,8.243002515561421e-5,0.00010704040778071907,0.1250481139221601,0.1360313596233587
57,architecture_1_act__tanh/,8.243003082694741e-5,0.0001070404079295517,0.12504811398238386,0.1360313593234886
58,architecture_1_act__tanh/,8.24311656891144e-5,0.00010704130007202255,0.12504806075470665,0.13603277227766192
