epochs,test_name,train_losses,test_losses,train_metric,test_metric
32,architecture_lstm_1/,0.00013931667194281005,0.00013751447594369332,0.17838207532504796,0.17324420253702216
33,architecture_lstm_1/,0.0001306930245680849,0.00013457960960666128,0.1700606517506585,0.16885715475545177
34,architecture_lstm_1/,0.00013093975449348277,0.0001363578400087567,0.16880187060162502,0.17030369811876955
35,architecture_lstm_1/,0.00017577275405539176,0.0001741130070926482,0.18456462609258545,0.18750721079970184
36,architecture_lstm_1/,0.0001372397729153409,0.00014230441728571027,0.17750359599566637,0.18107880179620642
37,architecture_lstm_1/,0.00014595578072164946,0.00014406516778213974,0.1917300572709836,0.1857637799573387
38,architecture_lstm_1/,0.0001405229157637376,0.00013559689155194038,0.1801468582812604,0.17480100297469958
39,architecture_lstm_1/,0.00014324128608939578,0.00014874673867089155,0.18442620254387376,0.1947917084305519
40,architecture_lstm_1/,0.00014800491854650524,0.0001459153440560058,0.19288006927701096,0.18957784753189744
41,architecture_lstm_1/,0.00014836786713290527,0.00014185669718285254,0.19514083417256964,0.18134613289645635
42,architecture_lstm_1/,0.00014837173122650877,0.00014174178363280388,0.1951190931316099,0.1812948408190088
43,architecture_lstm_1/,0.00014796800388498319,0.00014067686524298954,0.19448896885376712,0.17951743802673994
44,architecture_lstm_1/,0.00014750808434770002,0.00013972239002986282,0.1936845321720995,0.17814189715178613
45,architecture_lstm_1/,0.00014795894770154504,0.00014069438568546823,0.1945249690691717,0.17958661923941516
46,architecture_lstm_1/,0.00014810364915893715,0.00014117249689220225,0.19484713595568234,0.18037227490559393
47,architecture_lstm_1/,0.00014810376166689244,0.0001411728736369971,0.19484720108227185,0.18037285402295586
48,architecture_lstm_1/,0.0001481037588970009,0.00014117295223278197,0.19484720120558632,0.18037316990005736
49,architecture_lstm_1/,0.0001481037588201947,0.00014117295214417363,0.19484720124087013,0.18037316987233826
50,architecture_lstm_1/,0.0001481037588201947,0.00014117295214417363,0.19484720124087013,0.18037316987233826
51,architecture_lstm_1/,0.0001481037588201947,0.00014117295214417363,0.19484720124087013,0.18037316987233826
52,architecture_lstm_1/,0.00032284248118593777,0.00031561672953733875,0.1941088544567247,0.17865255228926386
53,architecture_lstm_1/,0.0001969689150018868,0.00018983177614311381,0.19443204182963303,0.1793163152443278
54,architecture_lstm_1/,0.00014878479245354344,0.00014298784071073694,0.1954610006610992,0.18354296013613117
55,architecture_lstm_1/,0.0001437843176472078,0.00015021353483947222,0.1854696333359624,0.19603289145122016
56,architecture_lstm_1/,0.0001405976246883994,0.00015077497419469817,0.18174847293745278,0.19627601434340752
57,architecture_lstm_1/,0.00014065654575330912,0.0001507736849545757,0.1818046930377728,0.19628386309656326
58,architecture_lstm_1/,0.00014083920789741881,0.00015089070800582642,0.18178483668877068,0.19628164793060665
59,architecture_lstm_1/,0.00014110249220481918,0.000151069292228323,0.18176559633083364,0.19627973044981079
60,architecture_lstm_1/,0.00014135679049786685,0.00015124934033093358,0.18174864339617072,0.19627770515450305
61,architecture_lstm_1/,0.0001413568158783711,0.00015124943132248402,0.18174865086089295,0.19627769407949192
62,architecture_lstm_1/,0.00014135702206471997,0.00015124959368578212,0.18174864094048584,0.19627768604818838
63,architecture_lstm_1/,0.0001413570462843593,0.00015124961081224903,0.1817486409737755,0.19627768606661136
64,architecture_lstm_1/,0.0001413570462843593,0.00015124961081224903,0.1817486409737755,0.19627768606661136
65,architecture_lstm_1/,0.0001413570462843593,0.00015124961081224903,0.1817486409737755,0.19627768606661136
66,architecture_lstm_1/,0.002312360696825151,0.0021112778622867584,0.18549300991270762,0.19600360880449944
67,architecture_lstm_1/,0.0003245261174566877,0.00033079673021045055,0.1854722873375352,0.19612401105920488
68,architecture_lstm_1/,0.00025053410477920344,0.00026062928717036514,0.1815558007628627,0.19617348287322953
69,architecture_lstm_1/,0.00013898517916793594,0.0001506356187811327,0.1796936536113917,0.1954827285067986
70,architecture_lstm_1/,0.00014726704532778704,0.00014987428556221668,0.1892271740100527,0.1945287210188414
71,architecture_lstm_1/,0.0001521585667836302,0.00014343877255871363,0.1943916710505107,0.17930471688440885
72,architecture_lstm_1/,0.00014521446728080052,0.000141755305552367,0.19118504819541593,0.18386360221964856
73,architecture_lstm_1/,0.00014592352631495045,0.00014480245143225914,0.1916363458769306,0.18944604442389398
74,architecture_lstm_1/,0.00013799659193759677,0.0001371161430485136,0.17710863720229209,0.17703495809561143
75,architecture_lstm_1/,0.0001378942504251065,0.00013726707833645928,0.17697667577902515,0.17716210415880027
76,architecture_lstm_1/,0.0001355586874841369,0.00014175956533403917,0.17448807182989676,0.18215128323277568
77,architecture_lstm_1/,0.00013535503288332235,0.0001422550240433895,0.17447236527021942,0.18288286840745718
78,architecture_lstm_1/,0.0001353149988299123,0.00014240996021787892,0.17448442173516884,0.1831137428821747
79,architecture_lstm_1/,0.00013530554902261126,0.00014244212171294956,0.17448794873346232,0.18316309418760837
80,architecture_lstm_1/,0.00013530862997599113,0.00014243063317427294,0.17448713966576954,0.18314631124018857
81,architecture_lstm_1/,0.00013535806989400215,0.0001422970389829092,0.17448137088697746,0.18294320874300812
