,ID,initial_separation,mA,mB,spinA,spinB,q,e
0,SXS:BBH:1356,18.8727390414399,0.500004433373,0.500004421885,"[-2.50644198612e-08, -1.30742334554e-08, 2.36026838281e-06]","[2.53098921792e-08, 1.33936083594e-08, 2.35052639765e-06]",1.0000000229757968,0.1974746
1,SXS:BBH:1357,16.2363377828926,0.50000010805,0.500000137261,"[1.773019642e-08, 1.0838564567e-08, -1.91310409172e-05]","[-2.14950112089e-08, -9.06313385602e-09, -1.91459174249e-05]",0.9999999415780159,0.2211163
2,SXS:BBH:1358,15.904600802065,0.499997760273,0.499997846111,"[-3.32023660438e-08, -5.27280571805e-08, -2.54835566879e-05]","[3.86372134968e-08, 5.38197626422e-08, -2.57800521003e-05]",0.9999998283232605,0.2186272
3,SXS:BBH:1359,15.7359718004182,0.49999604838,0.499996043711,"[2.0710377299e-09, -2.95885834231e-09, -1.53097683215e-05]","[-2.15627336825e-09, 2.96004834623e-09, -1.53022326944e-05]",1.0000000093380739,0.2177783
4,SXS:BBH:1360,16.701915925872,0.499995396488,0.499995467434,"[-1.03862822436e-09, 6.94778167041e-09, -4.38079151407e-07]","[2.01308089747e-09, -6.67181101272e-09, -4.65019611306e-07]",0.9999998581067138,0.3635727
5,SXS:BBH:1361,16.6950250840487,0.500000809814,0.500000844185,"[-3.12411748029e-08, -2.71650929523e-08, -6.39273815009e-06]","[3.15130360805e-08, 2.85019281059e-08, -6.60907033441e-06]",0.9999999312581159,0.3326288
