time,true_orbit_x1,true_orbit_y1,true_orbit_x2,true_orbit_y2,pred_orbit_x1,pred_orbit_y1,pred_orbit_x2,pred_orbit_y2
5221.759107477467,5.917534692135803,1.763940461218301,-5.9175526305715715,-1.7639458084654098,6.1758618857861975,0.0,-6.175875650076617,-0.0
5223.322173276,5.849138889879285,1.9747337957790077,-5.84915663450078,-1.974739786568192,6.170695431779718,0.2365662692842765,-6.170709184555538,-0.23656679652515297
5224.885239074534,5.773222569866577,2.182966248886591,-5.773240092023263,-2.1829728743738523,6.15646563476476,0.47277296266540714,-6.156479355826292,-0.4727740163457647
5226.448304873067,5.689878716171355,2.388368984420739,-5.68989598946261,-2.388376235007186,6.1331907750235555,0.7082728723514219,-6.133204444211854,-0.708274450896035
5228.0113706716,5.5991931249979245,2.5906686125052802,-5.599210139145039,-2.590676484712495,6.100903029971304,0.9427196554465129,-6.100916627199137,-0.9427217565082532
5229.574436470134,5.501220102660099,2.7895716503417827,-5.501236828705122,-2.789580131829606,6.059648148988828,1.1757685439280918,-6.059661654270925,-1.1757711643914381
5231.137502268667,5.396159087258878,2.9848532053886814,-5.396175501067878,-2.9848622845752915,6.0094832583013,1.4070760141404288,-6.009496651779711,-1.407079150124241
5232.7005680672,5.284141186956882,3.176259781000131,-5.284157267957991,-3.176269447159476,5.950480850524542,1.6363018788472798,-5.950494112502882,-1.636305525712234
5234.263633865734,5.165306610021739,3.3635425324543995,-5.1653223408572515,-3.363552776065554,5.882724751854856,1.863107531143501,-5.882737862823566,-1.8631116834956123
5235.826699664267,5.039804507396228,3.546457598027859,-5.0398198648055015,-3.546468404884777,5.8063123759597595,2.0871589766665033,-5.8063253166263875,-2.0871636283674055
5237.3897654628,4.90779279145658,3.724766415879618,-4.907807753299219,-3.724777771189087,5.721353967487773,2.308125175724598,-5.721366718805574,-2.3081303198981287
5238.952831261334,4.769437952208331,3.8982360418075372,-4.769452501900316,-3.8982479338065428,5.62797289933136,2.5256800606330887,-5.627985442528551,-2.525685689676371
5240.515897059867,4.624895363513405,4.0666222315941045,-4.624909480450675,-4.066634644471063,5.5263030896205665,2.7395018806121048,-5.526315406223832,-2.739507986205168
5242.0789628584,4.4743126847618315,4.22966696515131,-4.47432634967111,-4.229679882899102,5.416493956200244,2.949274371674264,-5.41650602806928,-2.9492809447922723
5243.642028656934,4.317940779709767,4.387205309015318,-4.317953974454558,-4.387218715428737,5.2987041940371595,3.154687432894065,-5.298716003385348,-3.1546944638210532
5245.205094455467,4.155978651882782,4.539030082679198,-4.1559913587334005,-4.539043960717145,5.1731049754839455,3.3554369420358867,-5.173116504906165,-3.355444420378085
5246.768160254,3.9886327806731288,4.684941217572504,-3.988644979878221,-4.6849555464111265,5.039879790803635,3.551224905214265,-5.0398910233037135,-3.5512328199137584
5248.331226052534,3.816116865007649,4.82474602147704,-3.816128544018772,-4.824760787389881,4.899223866220538,3.7417610226881393,-4.899234785237408,-3.7417693620400136
5249.894291851067,3.6386515717732166,4.958259453456499,-3.638662714662258,-4.958274637508689,4.751342091319108,3.9267626867063714,-4.751352680748346,-3.9267714383758587
5251.4573576495995,3.4564642582625162,5.085304368932931,-3.4564748498472238,-5.085319951763486,4.596450739547255,4.105955669809241,-4.59646098376645,-4.105964820850396
5253.020423448133,3.269770907125568,5.20568330386497,-3.269780932362222,-5.205699264675091,4.434776655282126,4.2790715962507395,-4.43478653917444,-4.279081133119481
5254.583489246666,3.078796108930241,5.319202165866159,-3.0788055507456704,-5.319218478424015,4.26655747795917,4.44585549348461,-4.2665669869373986,-4.445865402068595
5256.146555045199,2.8838249372992433,5.425767320328349,-2.8838337895305806,-5.425783975359169,4.092039456179243,4.606056931388752,-4.092048576205001,-4.606067197017495
5257.709620843733,2.685108823404155,5.5252358991864625,-2.6851170682197463,-5.525252864886232,3.9114789135056425,4.759437930655782,-3.911487631111821,-4.75944853812841
5259.272686642266,2.482904379529293,5.617474045366578,-2.4829120078755276,-5.617491304164764,3.7251417914069753,4.905769373703079,-3.7251500937191735,-4.905780307308079
5260.8357524408,2.2774730928156797,5.702357132600025,-2.2774800925895065,-5.7023746587225945,3.533301625749543,5.044832741621979,-3.5333095005029964,-5.044843985160817
5262.398818239333,2.069080986009339,5.77976992506777,-2.0690873511297188,-5.779787705458869,3.3362410435802716,5.176419986925616,-3.3362484791401146,-5.17643152373608
5263.961884037866,1.8579982911386308,5.849606768992042,-1.8580040107455658,-5.849624776258187,3.1342503845054326,5.300334278443136,-3.1342573698838847,-5.300346091424332
5265.5249498364,1.6444881555667514,5.9117320479472335,-1.644493220769067,-5.9117502567317874,2.927627642406964,5.416389037080996,-2.927634167280391,-5.416401108716196
5267.088015634933,1.4288272861789304,5.966037436317784,-1.4288316879919996,-5.966055816080258,2.716677105846528,5.524410684250681,-2.716683160569472,-5.524422996636297
5268.651081433466,1.2113153576055482,6.012507199544006,-1.211319091706341,-6.012525734338722,2.501711211559334,5.624236524530134,-2.5017167871826715,-5.624249059399977
5270.214147232,0.9922360245751134,6.0510757657714604,-0.992239086014514,-6.051094435788739,2.2830461893058223,5.71571582302875,-2.2830512775852188,-5.715728561780684
5271.777213030533,0.7718753632694426,6.081687800014457,-0.7718777456844861,-6.081706571581774,2.0610067785799493,5.798709763086658,-2.061011371994825,-5.798722686809162
5273.340278829066,0.5505215013496157,6.104298280587641,-0.5505232013780603,-6.104317130725795,1.8359209993510033,5.873094501649247,-1.8359250911118439,-5.873107591154788
