epochs,test_name,train_loss,test_loss,train_metric,test_metric
1,test_1_cos/,0.01768915397165906,0.03814631070991199,0.0007183578911917138,0.0024762261280074313
2,test_1_cos/,0.15106874957862348,0.11210097710847165,0.038623644108849026,0.01870643096032733
3,test_1_cos/,0.17259340193164902,0.11046003465637597,0.04736602501363048,0.018170441451541997
4,test_1_cos/,0.23336590526579232,0.13809956627404388,0.08258902576468378,0.028055353627677755
5,test_1_cos/,0.3173321062584224,0.16882186335097146,0.1401228446979545,0.044268443477758934
6,test_1_cos/,0.37838747076249796,0.17365116011828297,0.19011598378863873,0.044876576222450296
7,test_1_cos/,0.361469931509469,0.16870743508194552,0.1744510999113511,0.0387791371397826
8,test_1_cos/,0.2981603380862542,0.13594560492955135,0.12253366509815602,0.026591471125705476
9,test_1_cos/,0.2438667954404643,0.16248386302928375,0.08051317693698343,0.035566541812650794
10,test_1_cos/,0.18151559355908353,0.15401173654775052,0.04099575800335423,0.03087881642855144
11,test_1_cos/,0.14548925768076074,0.10256456919754131,0.026932886919561524,0.015253382192766349
12,test_1_cos/,0.16378078185529504,0.11111759295593106,0.03696291185376139,0.018813553046730585
13,test_1_cos/,0.18677368610917036,0.0869060155018596,0.04914809673159037,0.011916680308900208
14,test_1_cos/,0.21145079777321252,0.08252335015356317,0.07048599366990627,0.011373559530162641
15,test_1_cos/,0.22410553026732927,0.08270090037289012,0.08271814100140075,0.011035894298187732
16,test_1_cos/,0.22965488518719446,0.08056423427469589,0.08635682268632772,0.009227750720399549
17,test_1_cos/,0.23500232929136086,0.09760399090220846,0.0794095350399002,0.014771876484247054
18,test_1_cos/,0.2206579740793289,0.14109960612379116,0.0663783346592871,0.028355239413494798
19,test_1_cos/,0.2515137246976808,0.18401276965259608,0.09500215255391746,0.046186057639520356
20,test_1_cos/,0.2779050896079431,0.18394563859584065,0.10302170164885491,0.04455855069310149
21,test_1_cos/,0.29312345204229323,0.18761825717193814,0.11498474157712127,0.047276689955116004
22,test_1_cos/,0.36067445331966247,0.18328448321889382,0.16416313805912716,0.04440027250080773
23,test_1_cos/,0.40893418471460086,0.16852303476896893,0.2103788320041173,0.036713138240530546
24,test_1_cos/,0.3860369244177304,0.1755770994018294,0.1803278510388059,0.04066863386730194
25,test_1_cos/,0.27125065271085597,0.18556008920284223,0.10532121092237581,0.04788677232900059
26,test_1_cos/,0.25806801580039884,0.1424099080085928,0.09271984154646196,0.029937204667414636
27,test_1_cos/,0.2874830148061147,0.10399362687207828,0.12504702896625783,0.016621748021433763
28,test_1_cos/,0.30665122618310137,0.07302520497466053,0.14341638594972922,0.007856060031711564
29,test_1_cos/,0.31041613722274447,0.06573275652056011,0.15452919903953466,0.006399808520182397
30,test_1_cos/,0.3267196002881599,0.057704718211356074,0.1674498975809226,0.005107956668962238
31,test_1_cos/,0.30864242164862604,0.07171820412881252,0.15106871611931363,0.007426607540302773
32,test_1_cos/,0.30432224071244063,0.09776233326887927,0.13938633816074245,0.013543315618052026
33,test_1_cos/,0.28163217600992285,0.13889320660058202,0.11590696830345652,0.02846477672661039
34,test_1_cos/,0.2760893045736033,0.18874468743151754,0.11475045727490907,0.05159208142545383
35,test_1_cos/,0.39188966059714864,0.1819106265222807,0.19648696203913443,0.0440233487186403
36,test_1_cos/,0.5095943802319353,0.1323411115555656,0.3258739390573732,0.022599659778352845
37,test_1_cos/,0.6456672001189536,0.06501585514833916,0.5334219196555333,0.00592921447145805
38,test_1_cos/,0.7177089993813978,0.045101466051658434,0.6601501801176655,0.003105116630788512
39,test_1_cos/,0.764531179175993,0.056068470788136295,0.7431512948320742,0.004613214936544133
40,test_1_cos/,0.8023323256975226,0.07826044277931704,0.8183916094439581,0.008889671345624047
41,test_1_cos/,0.828314206995087,0.10524384432107585,0.8647253072514096,0.015198524401672115
42,test_1_cos/,0.8326453086508959,0.10338398153561781,0.8671096665946247,0.014503150849497638
43,test_1_cos/,0.8533083213160101,0.1302715034048308,0.9181224204178402,0.023592882314637773
44,test_1_cos/,0.8610093407999633,0.15389997298087305,0.9439557920070152,0.034356253587787766
45,test_1_cos/,0.8467408382472251,0.16988192113695255,0.8970870729140916,0.04326643981680675
46,test_1_cos/,0.8530827635204913,0.16263496907816474,0.899857918787973,0.03871577720822767
47,test_1_cos/,0.8431578927031371,0.15317009716108365,0.8800468776469974,0.03327706652197614
48,test_1_cos/,0.8321728542012073,0.11919916684285325,0.8788250321588145,0.020346165226682117
49,test_1_cos/,0.8091249833958515,0.09515143373122394,0.8214892978873272,0.012799624352593696
50,test_1_cos/,0.7551932578788892,0.055057637156692256,0.7208734254420033,0.004605550254970021
51,test_1_cos/,0.6798242799772136,0.04908293828013321,0.5800318654241736,0.003673006511573055
52,test_1_cos/,0.6920843579612184,0.08865280535408326,0.5911839595654997,0.010335979863733013
53,test_1_cos/,0.474975695002771,0.1547351019712668,0.28646506381192044,0.030760423750580856
54,test_1_cos/,0.36232698896656074,0.19325560131327957,0.17738747920602155,0.054333026770694216
55,test_1_cos/,0.2975356414579388,0.19270108001265898,0.13886297221094387,0.05388416102800232
56,test_1_cos/,0.3137024482282935,0.15607813250357003,0.1460892730487854,0.0385203641818933
57,test_1_cos/,0.3339073697359078,0.13075093472355978,0.15991894484960847,0.02543474570131544
58,test_1_cos/,0.3550706782203662,0.08719991675535887,0.1898358183424867,0.011351839042867065
59,test_1_cos/,0.3647601269147684,0.06002642019354364,0.20634648123629387,0.005271755238861615
60,test_1_cos/,0.38106232117175165,0.04742383990730222,0.23695918087291548,0.003580055028353673
61,test_1_cos/,0.4249393098853151,0.042254011084065776,0.2735012233611997,0.002696831141395345
62,test_1_cos/,0.39234260193488113,0.04350155115750718,0.2306268046762674,0.0028878360743625634
63,test_1_cos/,0.38630373323309247,0.05860375854008881,0.2209791185568003,0.00500560435733634
64,test_1_cos/,0.39608293333565503,0.06343656536734803,0.23879703781273307,0.006036456722204398
65,test_1_cos/,0.3815454411788301,0.0739859492478877,0.22049239326934716,0.008086402795512322
