epochs,test_name,train_loss,test_loss,train_metric,test_metric,optimiser
1,test_1/,0.17958947279792845,2.516955192747265,0.0007183578911917138,0.002013564154197812,BFGS_0.1
2,test_1/,0.07674088883053888,2.1245122848754265,0.0003069635553221555,0.0016996098279003413,BFGS_0.1
3,test_1/,0.019755674706063733,1.3314568934109818,7.902269882425494e-5,0.0010651655147287855,BFGS_0.1
4,test_1/,0.002136971420546697,0.14167547365889466,8.547885682186787e-6,0.00011334037892711573,BFGS_0.1
5,test_1/,0.0002727189855438411,0.008175418987930854,1.0908759421753644e-6,6.540335190344685e-6,BFGS_0.1
6,test_1/,0.00021121891927903887,0.0018280442015189623,8.448756771161554e-7,1.4624353612151697e-6,BFGS_0.1
7,test_1/,0.00020468485802730029,0.001263487549104595,8.187394321092012e-7,1.0107900392836759e-6,BFGS_0.1
8,test_1/,0.00020467298076063377,0.00128557586716098,8.18691923042535e-7,1.028460693728784e-6,BFGS_0.1
9,test_1/,0.0002046729398564316,0.0012840759231083382,8.186917594257263e-7,1.0272607384866708e-6,BFGS_0.1
10,test_1/,0.0002046729398564316,0.0012840759231083382,8.186917594257263e-7,1.0272607384866708e-6,BFGS_0.1
1,test_1/,0.17958947279792845,2.516955192747265,0.0007183578911917138,0.002013564154197812,BFGS_0.01
2,test_1/,0.06763079101892015,2.2709187870249226,0.0002705231640756806,0.001816735029619938,BFGS_0.01
3,test_1/,0.03657122031055885,2.1045209319199096,0.0001462848812422354,0.001683616745535928,BFGS_0.01
4,test_1/,0.009818735366097044,0.7174717658398537,3.9274941464388176e-5,0.000573977412671883,BFGS_0.01
5,test_1/,0.0002596251731375056,0.007359076600826244,1.0385006925500222e-6,5.887261280660995e-6,BFGS_0.01
6,test_1/,0.00020667328342589738,0.0012130370525305488,8.266931337035895e-7,9.70429642024439e-7,BFGS_0.01
7,test_1/,0.00020468296702313212,0.0012830707279603963,8.187318680925285e-7,1.026456582368317e-6,BFGS_0.01
8,test_1/,0.0002046729615910352,0.0012848785377778354,8.18691846364141e-7,1.0279028302222683e-6,BFGS_0.01
9,test_1/,0.0002046729398551188,0.0012840655984720272,8.186917594204752e-7,1.0272524787776216e-6,BFGS_0.01
1,test_1/,0.17958947279792845,2.516955192747265,0.0007183578911917138,0.002013564154197812,BFGS_0.001
2,test_1/,0.07167978499057497,2.1285766938610857,0.00028671913996229984,0.0017028613550888686,BFGS_0.001
3,test_1/,0.03294137971187967,1.9871245523729142,0.00013176551884751868,0.0015896996418983313,BFGS_0.001
4,test_1/,0.0005111720194493784,0.027483565050709424,2.0446880777975136e-6,2.1986852040567542e-5,BFGS_0.001
5,test_1/,0.00024322751427391856,0.005256284813994443,9.729100570956743e-7,4.205027851195554e-6,BFGS_0.001
6,test_1/,0.00020484258170051713,0.0012023400851769801,8.193703268020685e-7,9.61872068141584e-7,BFGS_0.001
7,test_1/,0.00020467516734847118,0.0012935576445547068,8.187006693938847e-7,1.0348461156437655e-6,BFGS_0.001
8,test_1/,0.00020467294001940572,0.001284099455743785,8.186917600776228e-7,1.027279564595028e-6,BFGS_0.001
9,test_1/,0.00020467294001940572,0.001284099455743785,8.186917600776228e-7,1.027279564595028e-6,BFGS_0.001
1,test_1/,0.17958947279792845,2.516955192747265,0.0007183578911917138,0.002013564154197812,BFGS_0.0001
2,test_1/,0.1370545730324885,2.350788978031754,0.000548218292129954,0.0018806311824254031,BFGS_0.0001
3,test_1/,0.06289972426648832,2.0637891051017423,0.00025159889706595327,0.0016510312840813935,BFGS_0.0001
4,test_1/,0.05399205294790019,2.413822660665422,0.00021596821179160075,0.001931058128532338,BFGS_0.0001
5,test_1/,0.03786334656559129,1.8237146152701107,0.00015145338626236515,0.001458971692216089,BFGS_0.0001
6,test_1/,0.01217286176071411,0.7681198113205334,4.869144704285644e-5,0.0006144958490564268,BFGS_0.0001
7,test_1/,0.0013265596747183827,0.09603727862314593,5.30623869887353e-6,7.682982289851674e-5,BFGS_0.0001
8,test_1/,0.00022968067595337683,0.0029265616205511142,9.187227038135072e-7,2.3412492964408915e-6,BFGS_0.0001
9,test_1/,0.00020469225324519405,0.0012542115702854134,8.187690129807762e-7,1.0033692562283307e-6,BFGS_0.0001
10,test_1/,0.00020467294009536438,0.0012839744092072647,8.186917603814575e-7,1.0271795273658118e-6,BFGS_0.0001
11,test_1/,0.00020467294009536438,0.0012839744092072647,8.186917603814575e-7,1.0271795273658118e-6,BFGS_0.0001
1,test_1/,0.17958947279792845,2.516955192747265,0.0007183578911917138,0.002013564154197812,ADAM_5e-5
2,test_1/,0.15453301355382174,2.4112246008865608,0.000618132054215287,0.0019289796807092487,ADAM_5e-5
3,test_1/,0.13271473357005056,2.3259722969440944,0.0005308589342802023,0.0018607778375552759,ADAM_5e-5
4,test_1/,0.11517907290680443,2.2709515363250374,0.0004607162916272177,0.00181676122906003,ADAM_5e-5
5,test_1/,0.1021769593471176,2.2476963019944636,0.0004087078373884703,0.0017981570415955708,ADAM_5e-5
6,test_1/,0.09236363474542472,2.244221723344183,0.00036945453898169886,0.0017953773786753462,ADAM_5e-5
7,test_1/,0.0835710210681325,2.24368057949226,0.00033428408427253,0.0017949444635938078,ADAM_5e-5
8,test_1/,0.07456129253779867,2.2198807896275246,0.00029824517015119466,0.0017759046317020197,ADAM_5e-5
9,test_1/,0.06512844276455512,2.168251037653978,0.0002605137710582205,0.0017346008301231822,ADAM_5e-5
10,test_1/,0.055471026335194504,2.093868975613518,0.000221884105340778,0.0016750951804908145,ADAM_5e-5
11,test_1/,0.04586845455104993,1.969363054492293,0.00018347381820419973,0.0015754904435938345,ADAM_5e-5
12,test_1/,0.03659222211069102,1.7831341962977336,0.00014636888844276407,0.0014265073570381868,ADAM_5e-5
13,test_1/,0.027897952180853273,1.531205276710892,0.00011159180872341309,0.0012249642213687138,ADAM_5e-5
14,test_1/,0.0200352249072651,1.223055819347307,8.014089962906042e-5,0.0009784446554778456,ADAM_5e-5
15,test_1/,0.013250531602278744,0.8848207299165818,5.300212640911497e-5,0.0007078565839332654,ADAM_5e-5
16,test_1/,0.007771293231119728,0.5561699348031294,3.108517292447891e-5,0.0004449359478425035,ADAM_5e-5
17,test_1/,0.0037685478875971764,0.28091323157545184,1.5074191550388706e-5,0.00022473058526036147,ADAM_5e-5
18,test_1/,0.0013069703324816587,0.09420957900694009,5.227881329926634e-6,7.536766320555207e-5,ADAM_5e-5
19,test_1/,0.00030117163148294496,0.011211411521798352,1.2046865259317799e-6,8.969129217438685e-6,ADAM_5e-5
20,test_1/,0.000502654311369631,0.022512355182146615,2.0106172454785245e-6,1.8009884145717292e-5,ADAM_5e-5
21,test_1/,0.0015358262497197808,0.09935825977698116,6.1433049988791235e-6,7.948660782158494e-5,ADAM_5e-5
22,test_1/,0.0029800528396609115,0.2060054973631042,1.1920211358643648e-5,0.00016480439789048337,ADAM_5e-5
23,test_1/,0.00446699587273996,0.31221768421731755,1.7867983490959838e-5,0.00024977414737385403,ADAM_5e-5
24,test_1/,0.005750544406867005,0.3999518781875346,2.3002177627468016e-5,0.00031996150255002764,ADAM_5e-5
25,test_1/,0.006722962224505397,0.46316465837211646,2.6891848898021587e-5,0.0003705317266976932,ADAM_5e-5
26,test_1/,0.007381780717052526,0.5035244589240772,2.9527122868210103e-5,0.0004028195671392617,ADAM_5e-5
27,test_1/,0.007773697325595892,0.5254992727156886,3.109478930238356e-5,0.0004203994181725509,ADAM_5e-5
28,test_1/,0.007944410035507724,0.5329612181764889,3.17776401420309e-5,0.0004263689745411911,ADAM_5e-5
29,test_1/,0.007912274473122968,0.5278315570302451,3.164909789249187e-5,0.00042226524562419607,ADAM_5e-5
30,test_1/,0.00766891149955445,0.5102785536500527,3.06756459982178e-5,0.00040822284292004217,ADAM_5e-5
31,test_1/,0.007198163893493273,0.4796769874554454,2.8792655573973093e-5,0.00038374158996435634,ADAM_5e-5
32,test_1/,0.00649987070873939,0.4357106331632074,2.5999482834957556e-5,0.0003485685065305659,ADAM_5e-5
33,test_1/,0.005606602549478354,0.3792997665276131,2.2426410197913416e-5,0.0003034398132220905,ADAM_5e-5
34,test_1/,0.004587013578746671,0.31322367806914214,1.8348054314986686e-5,0.0002505789424553137,ADAM_5e-5
35,test_1/,0.0035354057407259703,0.24230626956872714,1.4141622962903882e-5,0.0001938450156549817,ADAM_5e-5
36,test_1/,0.0025518798226323875,0.17296163611315377,1.0207519290529548e-5,0.00013836930889052303,ADAM_5e-5
37,test_1/,0.0017200389529084682,0.11195057943858255,6.8801558116338726e-6,8.956046355086606e-5,ADAM_5e-5
38,test_1/,0.0010897981437530762,0.06458851827911254,4.359192575012304e-6,5.1670814623290026e-5,ADAM_5e-5
39,test_1/,0.0006709395644548818,0.03319807987295302,2.683758257819527e-6,2.6558463898362417e-5,ADAM_5e-5
40,test_1/,0.0004389669792844271,0.016732710436811436,1.7558679171377085e-6,1.3386168349449146e-5,ADAM_5e-5
41,test_1/,0.00034990880494989923,0.011816747666308523,1.3996352197995969e-6,9.45339813304682e-6,ADAM_5e-5
42,test_1/,0.0003573182375887085,0.014481125548999755,1.429272950354834e-6,1.1584900439199803e-5,ADAM_5e-5
43,test_1/,0.00042463222478919527,0.021548954942489207,1.6985288991567812e-6,1.7239163953991367e-5,ADAM_5e-5
44,test_1/,0.0005291537118062877,0.031107592736702168,2.1166148472251515e-6,2.4886074189361735e-5,ADAM_5e-5
45,test_1/,0.0006582995950588226,0.042178517566899616,2.633198380235291e-6,3.374281405351969e-5,ADAM_5e-5
46,test_1/,0.0008021132282260224,0.054051903763724235,3.2084529129040897e-6,4.324152301097939e-5,ADAM_5e-5
47,test_1/,0.0009469429230599418,0.06574443816225801,3.7877716922397673e-6,5.2595550529806415e-5,ADAM_5e-5
48,test_1/,0.0010736986176090636,0.07584400228516108,4.294794470436255e-6,6.067520182812887e-5,ADAM_5e-5
49,test_1/,0.0011612380136736156,0.08276268690488629,4.644952054694462e-6,6.621014952390903e-5,ADAM_5e-5
50,test_1/,0.0011927378098912666,0.0852232872623738,4.770951239565066e-6,6.817862980989904e-5,ADAM_5e-5
51,test_1/,0.0011615792023123544,0.08271393618217343,4.6463168092494175e-6,6.617114894573875e-5,ADAM_5e-5
52,test_1/,0.0010738061553563908,0.0756874489621003,4.295224621425563e-6,6.0549959169680245e-5,ADAM_5e-5
53,test_1/,0.0009460758436702184,0.06541860440672799,3.7843033746808735e-6,5.233488352538239e-5,ADAM_5e-5
54,test_1/,0.0008001633578944145,0.05359188094784181,3.2006534315776577e-6,4.287350475827345e-5,ADAM_5e-5
55,test_1/,0.0006565107517478978,0.041804516213523456,2.6260430069915913e-6,3.344361297081876e-5,ADAM_5e-5
56,test_1/,0.0005294251766985343,0.031187596166330947,2.1177007067941373e-6,2.4950076933064753e-5,ADAM_5e-5
57,test_1/,0.00042547844071809675,0.022274061139284505,1.701913762872387e-6,1.7819248911427606e-5,ADAM_5e-5
58,test_1/,0.00034506319070067547,0.015118653270207203,1.3802527628027019e-6,1.2094922616165764e-5,ADAM_5e-5
59,test_1/,0.000285663666297059,0.009558906200727788,1.142654665188236e-6,7.647124960582231e-6,ADAM_5e-5
60,test_1/,0.00024488878422349286,0.005458341616475096,9.795551368939715e-7,4.366673293180077e-6,ADAM_5e-5
61,test_1/,0.00022182080161270695,0.0028093786316536282,8.872832064508279e-7,2.247502905322903e-6,ADAM_5e-5
62,test_1/,0.0002163787258276932,0.0016680835655372129,8.655149033107729e-7,1.3344668524297703e-6,ADAM_5e-5
63,test_1/,0.00022753970653243842,0.0019931729809112672,9.101588261297537e-7,1.5945383847290138e-6,ADAM_5e-5
