time,true_orbit_x1,true_orbit_y1,true_orbit_x2,true_orbit_y2,pred_orbit_x1,pred_orbit_y1,pred_orbit_x2,pred_orbit_y2
4613.735455290455,7.188858046110165,-2.665574431671798,-7.188857542162256,2.6655742448121544,6.1758618857861975,0.0,-6.175875650076617,-0.0
4618.636212708592,7.367512867093625,-2.115365346723936,-7.3675123499570105,2.115365198243828,6.132746852400045,0.6855104133323768,-6.132760520598962,-0.6855119411457556
4623.536970126729,7.504189471749219,-1.5531926610337488,-7.504188944328859,1.5531925518705054,6.013620111567375,1.362230020578782,-6.013633514265689,-1.3622330566132608
4628.437727544865,7.598085331882964,-0.982250229126773,-7.598084797172788,0.982250160002069,5.819804705498661,2.0217297464291097,-5.8198176762359655,-2.0217342523063286
4633.338484963002,7.64864038161949,-0.4057860039290315,-7.648639842650441,0.4057859753353461,5.553558822926943,2.6557563517840808,-5.5535712002757105,-2.65576227073149
4638.239242381139,7.655540701247903,0.17291633251881833,-7.655540161108415,-0.1729163203182552,5.218055255927617,3.2563355243297085,-5.218066885531597,-3.256342781802218
4643.139999799276,7.618720811799259,0.7505559932762247,-7.618720273563769,-0.7505559402518658,4.817347989538066,3.815875248376814,-4.817358726076222,-3.815883752908828
4648.040757217413,7.538364562099031,1.323833860790129,-7.5383640288529925,-1.3238337671451745,4.356325648832839,4.327259993621758,-4.356335357879527,-4.327269637889128
4652.941514635549,7.4148012339903495,1.8894446589910459,-7.4148007088103265,-1.8894445251641947,3.8406611871818828,4.783946259201048,-3.8406697469549087,-4.783956921295972
4657.8422720536855,7.248747895242901,2.444135737806475,-7.24874738116168,-2.444135564468055,3.276740572859178,5.180046838600866,-3.2767478758089053,-5.180058383494581
4662.743029471822,7.041203831079351,2.9847394509178766,-7.04120333107331,-2.984739238966761,2.671593920345823,5.510412448606203,-2.6715998745907985,-5.510424729793619
4667.643786889959,6.793333723937881,3.508151651718498,-6.793333240915487,-3.5081514022798848,2.0328045456399564,5.770699653153227,-2.032809076199844,-5.770712514448932
4672.544544308096,6.506534695416758,4.011362559634932,-6.506534232191026,-4.011362274049662,1.3684258975751618,5.9574329234262615,-1.368428947418539,-5.957446200898852
4677.445301726232,6.182428787020542,4.491474185688157,-6.182428346305305,-4.491473865512133,0.6868756970088424,6.06805608009651,-0.6868772278650614,-6.0680696041175635
4682.346059144369,5.822854132149471,4.945717167656331,-5.822853716531061,-4.945716814644756,-0.003164717335616914,6.1009728275357205,0.0031647243888977853,-6.100986424919113
4687.246816562506,5.429854865023964,5.371466916215618,-5.429854476959714,-5.371466532323717,-0.69285974233866,6.055574746256346,0.6928612865316632,-6.055588242459953
4692.147573980643,5.005669819760684,5.766258977155691,-5.00566946154863,-5.766258564514513,-1.373331506945432,5.932254927806032,1.3733345677220576,-5.932268149163825
4697.04833139878,4.55272007991119,6.127803518572747,-4.552719753700279,-6.127803079503986,-2.0357735734904066,5.732416442043777,2.035778110667437,-5.732429218016778
4701.949088816916,4.073545824329263,6.4539197702528535,-4.073545532076673,-6.453919307222455,-2.671566257167185,5.45845858715165,2.671572211350507,-5.458470752548258
4706.849846235053,3.570911984627517,6.742699934995043,-3.570911728105572,-6.742699450622204,-3.2723904664126846,5.11375414105879,3.272397759667226,-5.113765538204391
4711.7506036531895,3.0477556042058565,6.992528988298765,-3.0477553849881116,-6.99252848534191,-3.830335861764261,4.702620299958255,3.8303443985249883,-4.702630780800077
4716.651361071326,2.507083066862026,7.201943066585206,-2.507082886301041,-7.201942547897154,-4.338010601440026,4.230259539858331,4.338020269667533,-4.230268967938481
4721.552118489463,1.9520057689226777,7.369709536701537,-1.9520056281613338,-7.369709005261154,-4.788645021751972,3.702709128695403,4.7886556943191385,-3.7027173810113916
4726.452875907599,1.3857223853891039,7.494834585183758,-1.3857222853351823,-7.494834044027819,-5.17617756011006,3.1267642578280834,5.176189096380222,-3.1267712265220267
4731.353633325736,0.8115005821342129,7.576569450762234,-0.8115005234660899,-7.576568903002666,-5.4953542496816725,2.50989267856365,5.495366497308521,-2.5098982724212178
4736.254390743873,0.23265827781258308,7.614415259340906,-0.2326582609712155,-7.614414708144647,-5.7417923459335585,1.8601458972525473,5.74180514280286,-1.8601500430039946
4741.15514816201,-0.3474554378886156,7.608126428361372,0.34745541270435665,-7.6081258769156035,-5.912057058463337,1.186054130676881,5.9120702348056575,-1.1860567740639594
4746.055905580147,-0.925479620523847,7.557712615656497,0.925479553358591,-7.557712067168087,-6.003706895873439,0.4965126951874151,6.0037202764779325,-0.4965138017770797
4750.956662998283,-1.4980449942536218,7.463360942399517,1.4980448853985826,-7.463360400076835,-6.015341492317252,-0.1993282780463409,6.015354898852049,0.19932872229401977
4755.85742041642,-2.061800729758654,7.325573528268157,2.061800579745114,-7.3255729952713615,-5.946622355433722,-0.8921871295073686,5.946635608812542,0.8921891179460653
4760.758177834557,-2.61348032030832,7.145228102876029,2.6134801299132073,-7.145227582338968,-5.798293761792647,-1.572779250663037,5.798306684587999,1.5727827559535974
4765.6589352526935,-3.14987049314598,6.923348390777608,3.149870263382888,-6.923347885764427,-5.572171730730833,-2.2319390893471973,5.572184149562631,2.2319440637229837
4770.55969267083,-3.6678426295921964,6.661200861865128,3.667842361705618,-6.661200375355152,-5.2711353603610265,-2.860744252766562,5.2711471082658985,2.8607506285753863
4775.460450088966,-4.164371125674467,6.3602878666784886,4.164370821136494,-6.360287401555435,-4.899091366670516,-3.4506465916518434,4.899102285392082,3.4506542821900545
