epochs,test_name,train_losses,test_losses,train_metric,test_metric
1,test_1_cos/,0.00010517111556723163,8.423617825135061e-5,0.11445312149205047,0.10544723855364965
2,test_1_cos/,9.446796172995673e-5,7.23522982671169e-5,0.11452467183286082,0.1054470867078429
3,test_1_cos/,0.000389918866491502,0.0004121139905120577,0.11492654504240353,0.10560187457430813
4,test_1_cos/,0.00011849906045991158,9.972790288569347e-5,0.11431296961140128,0.10580581473748714
5,test_1_cos/,0.00019233190061116462,0.00018306550181711138,0.1139749696625399,0.1063969437516094
6,test_1_cos/,0.00014169194190908875,0.0001265885086737483,0.11412363387798595,0.10632762408733319
7,test_1_cos/,0.00030036002279619386,0.00030375751225904533,0.11372502070318369,0.10659845173812929
8,test_1_cos/,0.00016142804309149757,0.0001488081024344824,0.11403611091526672,0.1064421604764471
9,test_1_cos/,8.642698098655681e-5,6.486718673137728e-5,0.1144560799858927,0.10617729320807229
10,test_1_cos/,8.485744608645669e-5,6.311218133803592e-5,0.11449678585464096,0.10616640494796532
11,test_1_cos/,0.00038309810143034563,0.00040490480703847965,0.11487486827919997,0.10588353071176287
12,test_1_cos/,0.0002188398183787903,0.00021210900189070275,0.11395621346889992,0.10620315326150873
13,test_1_cos/,0.0002698767237038826,0.00026689392381256603,0.11412153842941608,0.10538402386621472
14,test_1_cos/,0.00012802043639668575,0.00010880394987862863,0.11446985051025942,0.10508969676022474
15,test_1_cos/,9.142073849272928e-5,6.800503126306375e-5,0.11468111223816373,0.10494687068555798
16,test_1_cos/,8.583040617536545e-5,6.178849562029826e-5,0.1147680333314765,0.10489210200625128
17,test_1_cos/,0.0003129771995039886,0.0003228019891250062,0.11516706937630662,0.10422928345784743
18,test_1_cos/,0.00014463420371285866,0.00012645885627802982,0.1145616466265716,0.10469772499426436
19,test_1_cos/,0.0001572710700140662,0.0001404906279333295,0.11453075180930378,0.10469357380682595
20,test_1_cos/,0.00011005969441154709,8.790001791042712e-5,0.11469583384802402,0.10453502054737544
21,test_1_cos/,0.00010112819557660539,0.00012842955135480372,0.12470618218707703,0.14129057098562284
1,test_1_cos/,0.00011362767887624431,0.00013312589452054506,0.1329915167346119,0.14362648374492173
2,test_1_cos/,0.00010513158918078353,0.00012364390647067347,0.1330462891654691,0.1436503774756273
3,test_1_cos/,0.0001521843610548117,0.00017610366331898434,0.13285829706860364,0.14358105776525576
4,test_1_cos/,0.00011667029773560125,0.00013652302111658322,0.1329828171590687,0.14363971414405471
5,test_1_cos/,0.00010524095720151681,0.00012507012749026741,0.1331763785270668,0.1437140165061422
6,test_1_cos/,0.00010157512048677506,0.00011967373783821603,0.133087250491427,0.14367615141625553
7,test_1_cos/,9.981513877683947e-5,0.00011767351314018461,0.13311455756543933,0.14363591294379213
8,test_1_cos/,9.981635472209617e-5,0.00011767628028488324,0.1331128219125743,0.1436350798808932
9,test_1_cos/,0.00011994263272828418,0.00014016226753007423,0.13294981865218944,0.1435771374861886
10,test_1_cos/,0.00010927726855930236,0.0001282654252029601,0.1330032526194081,0.14359967152022823
11,test_1_cos/,0.00018109830149994576,0.00020830876927206452,0.13276926523011556,0.14348005621271823
12,test_1_cos/,0.00013820602233534962,0.0001605157217130119,0.1328755870258531,0.14352341572592006
13,test_1_cos/,0.00013361739966651282,0.00015537183724345817,0.13288025905313575,0.1435058343384566
14,test_1_cos/,0.000105150463833928,0.0001236160144716077,0.13300807354647343,0.14355215301226615
15,test_1_cos/,0.00010023949534334134,0.00011806750765601517,0.13306708935852357,0.14354562420817968
