niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,rnn_/,0.007938871200812343,0.01772571801493967,0.2680993139673907,0.13313560371852298
2,rnn_/,0.007907205404235144,0.017694346641114304,0.26774515425860235,0.13295351437884997
3,rnn_/,0.005129007443043481,0.017802641125925,0.262563742451869,0.13304473118971732
4,rnn_/,0.005559237064487434,0.01769541570079491,0.26128464037311405,0.13285537896490107
5,rnn_/,0.005681396329246639,0.017683694192721873,0.2614411951970683,0.13283856520634937
6,rnn_/,0.0056797458990288496,0.017682886775048083,0.26143210903485514,0.13283641123561785
7,rnn_/,0.0057415528756902005,0.01768490830853911,0.2611459703710308,0.13282438012963213
8,rnn_/,0.005765430670700327,0.017686349093878676,0.26085396932426236,0.1328083472524718
9,rnn_/,0.006393937278411743,0.017718636663670354,0.25862277381151116,0.13265525280984528
10,rnn_/,0.00815278776336218,0.01784559068708572,0.25477292440599997,0.132442370100957
11,rnn_/,0.008510075838646582,0.017789710474736643,0.2547046235567103,0.13236216154900604
12,rnn_/,0.008814423697264677,0.01777746874539962,0.2546287228621659,0.13233150128216015
13,rnn_/,0.008933769369044416,0.017766876682755523,0.2546823630900983,0.1323279584869721
14,rnn_/,0.00898247596499368,0.017765415259701323,0.25466029153638636,0.13233870191458968
15,rnn_/,0.008925568511463757,0.017762384608118766,0.25459858138183084,0.13232768005484638
16,rnn_/,0.008896819909853087,0.017762455677813503,0.25448142278345764,0.132321266368863
17,rnn_/,0.008845113748184988,0.017771841098158502,0.25410796211691755,0.13229500004488007
18,rnn_/,0.008759629511260823,0.017772440400064277,0.2540914573104595,0.13230482307735003
19,rnn_/,0.007770186270194941,0.017815560952838403,0.2535098519777202,0.1324173341418282
20,rnn_/,0.00792647782826966,0.017769356264567448,0.25331288446662126,0.13236218894726148
21,rnn_/,0.009181527200951216,0.017740085349872425,0.25283418889033304,0.13214791348508972
22,rnn_/,0.00847990658551714,0.017865299348932655,0.24844875434078448,0.1320476037376847
23,rnn_/,0.008211516519995575,0.017916145045693086,0.24713933615761904,0.13208033233651226
24,rnn_/,0.008271943246062934,0.017878531374028554,0.24600570845042993,0.13192428489779776
25,rnn_/,0.00849637369829264,0.01804422992621347,0.24154748286067873,0.13130134381758848
26,rnn_/,0.009281982610929822,0.017892022051478877,0.23820429640219168,0.13077987966652563
27,rnn_/,0.008481347759114004,0.0192015835832007,0.23043913986234138,0.13023215974308963
28,rnn_/,0.008165076815203924,0.020499875714788115,0.2264503913041081,0.1314682492453098
29,rnn_/,0.008023035053740994,0.022379041086086956,0.22342190386125038,0.13447412305685974
30,rnn_/,0.005387946162849987,0.02736887597641755,0.1994219480838061,0.12704371682465238
31,rnn_/,0.003138103851251279,0.034069777184740746,0.1636211821017386,0.10814695940665475
32,rnn_/,0.002322635366396263,0.03225818281008255,0.15719702128088017,0.08329792268150321
33,rnn_/,0.0021136354764610364,0.0431200825427179,0.15225258419022925,0.12205381335262667
34,rnn_/,0.001764535034502416,0.05391082857736294,0.1476357754719142,0.16289351806614688
35,rnn_/,0.004707336413622425,0.02187305508129254,0.16626945079283578,0.1308095354102427
36,rnn_/,0.003084859451787599,0.022924690465568304,0.15870445436794525,0.14524511691104644
37,rnn_/,0.0017625952999116533,0.02594180093134739,0.14767832847733148,0.15879380621061412
38,rnn_/,0.0014986473126845767,0.022628308228413687,0.14464208455425345,0.14608241494998356
39,rnn_/,0.0013867464932991419,0.022452379380406652,0.14412837124499622,0.14474880680206934
40,rnn_/,0.0013121514518229908,0.023744946561481788,0.14475021084489,0.14879402574171438
41,rnn_/,0.0011245864888054834,0.02955889346463064,0.14282058320724825,0.16735237489052357
42,rnn_/,0.0012859971113330206,0.029652185977242493,0.16998511139091646,0.16738031119204608
43,rnn_/,0.0009573389394928184,0.029370782363975,0.16575520724199855,0.16662958749381437
44,rnn_/,0.0012161572396169006,0.027444933075089863,0.16159916702834165,0.15931164013819676
45,rnn_/,0.0011508089424533145,0.02670489774872218,0.14876699070196336,0.1585769282417902
46,rnn_/,0.0011026191942610805,0.01810020970894616,0.1428473314370617,0.12835792135959995
47,rnn_/,0.0010656262236479453,0.017705802129642335,0.1426107419672941,0.12509542089409323
48,rnn_/,0.0010416433110512833,0.019776480106225208,0.1435211207435239,0.13556721817439205
49,rnn_/,0.0010152900152931494,0.019968811722872265,0.14350966293514691,0.13538782147924228
50,rnn_/,0.0010104996967580477,0.01867720398446661,0.1430784433547663,0.13055556452162706
51,rnn_/,0.0010100261062048815,0.018373102585621217,0.14299598873232539,0.1296940274940206
52,rnn_/,0.0010088351751768134,0.017048342744772297,0.14282068480748264,0.12629875286751285
53,rnn_/,0.0009993726099337536,0.016814847136498633,0.14272079043655644,0.12596910856410182
54,rnn_/,0.000979412794629842,0.016976167833305623,0.14279603420395762,0.1268233968993264
55,rnn_/,0.00096838728486349,0.01674592106072615,0.14272655861999944,0.1262944584921478
56,rnn_/,0.0009653266354769186,0.016308808156256946,0.142759394620879,0.12521608621267163
57,rnn_/,0.0009582392593135495,0.015743330669624807,0.14243154539243968,0.12341033985971454
58,rnn_/,0.0009698374025661723,0.015156905008189421,0.14153137578826977,0.12261913852963098
59,rnn_/,0.0009503429698503033,0.015172163620776537,0.1419422472788418,0.12213417465165584
60,rnn_/,0.0009479281379260125,0.01508594483411294,0.14188181222453544,0.1223048874218994
61,rnn_/,0.000941670398766192,0.015117423271619626,0.14174164229900213,0.12263479994908105
62,rnn_/,0.000933733814114206,0.01521306100455398,0.1415566606603195,0.12318948764441731
63,rnn_/,0.0009276420612834637,0.015488134438482752,0.14121327697929684,0.124435929970167
