niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,architecture_1_act__σ/,0.00017932668961722405,0.00015145397433176405,0.1436531090888897,0.1332000561347677
2,architecture_1_act__σ/,0.00012352080544557938,0.00010503493580327424,0.14358848117773113,0.13302422110870327
3,architecture_1_act__σ/,0.00012234275943634826,0.00010138107513243331,0.14552333920523458,0.13297183808803573
4,architecture_1_act__σ/,0.00012008483332837711,9.514496109335506e-5,0.14581333834553098,0.12970430652437046
5,architecture_1_act__σ/,8.147774019941774e-5,8.182093086091466e-5,0.11745808020966511,0.11409592588155641
6,architecture_1_act__σ/,9.692611238784831e-5,0.00012769019358822685,0.13098535738980754,0.15606311687245744
7,architecture_1_act__σ/,8.071771911720806e-5,0.00011469578990622512,0.11236684431746491,0.14134608763432716
8,architecture_1_act__σ/,7.895799126374522e-5,0.00011317112093381856,0.11070225577788813,0.13995357991606258
9,architecture_1_act__σ/,7.447744828444335e-5,0.00010931976324371972,0.10648259504882406,0.13620502534543386
10,architecture_1_act__σ/,7.712580167763768e-5,0.00011158401498509737,0.10926747067886874,0.13871963768783974
11,architecture_1_act__σ/,7.793006964140848e-5,0.00011227274678979398,0.11021004017915736,0.13953711803222452
12,architecture_1_act__σ/,7.782868764021014e-5,0.0001121924550449836,0.11013292931281875,0.13947862547554318
13,architecture_1_act__σ/,7.756615431246577e-5,0.00011195768787652244,0.10978825278990234,0.13921051341576557
14,architecture_1_act__σ/,7.78048157841441e-5,0.00011204733158625892,0.10974163678986378,0.1391843547817827
15,architecture_1_act__σ/,7.80536149867203e-5,0.00011215174322214301,0.10949622432793732,0.13899343316533172
16,architecture_1_act__σ/,7.78688580810123e-5,0.00011203774488020038,0.10910027233035023,0.13873294481356133
17,architecture_1_act__σ/,0.000113538039745288,0.00013704454735090932,0.11128041385741744,0.12602156395795344
18,architecture_1_act__σ/,0.00011276578038563737,0.000130286655411333,0.12178338812954516,0.13077711824785018
19,architecture_1_act__σ/,8.474194248024866e-5,0.0001070742410468431,0.12598489500069873,0.13570903139016502
20,architecture_1_act__σ/,8.436801634325974e-5,0.00010587305081179362,0.12583698361670467,0.13468136468986075
21,architecture_1_act__σ/,8.612059773854396e-5,0.00010474107170790149,0.1266577807817759,0.1337268365592334
22,architecture_1_act__σ/,8.651717887786949e-5,0.00010510833702734063,0.12713939825500067,0.1344087782997658
23,architecture_1_act__σ/,8.656725003253267e-5,0.00010514921243528255,0.1273416406588512,0.1345882808646524
24,architecture_1_act__σ/,8.665792856177418e-5,0.00010518887255731756,0.12759431839138072,0.13480871388902135
25,architecture_1_act__σ/,8.657489410242318e-5,0.0001051905133749465,0.1275471072355793,0.13481069393571804
26,architecture_1_act__σ/,8.657799949809562e-5,0.00010519781745381036,0.12756042563719355,0.1348266281280422
