niter,test_name,train_losses,test_losses,train_metrics,test_metrics
30,mse/,1.6650410619815668e-5,1.8510674079749722e-5,0.12903540777027114,0.13604915703745082
31,mse/,1.5226813803006087e-5,1.9435961434326073e-5,0.12339677071839182,0.13941165967125257
32,mse/,1.564564776105548e-5,1.8881153898101705e-5,0.12508106259581067,0.13740416352221285
33,mse/,1.562082473030197e-5,1.890401131273591e-5,0.12498005341549032,0.1374843398510464
34,mse/,1.5619167577623565e-5,1.890712101332353e-5,0.12496981180365194,0.13749026989793248
35,mse/,1.562036038545919e-5,1.8914260649016204e-5,0.12495813455890228,0.13749590877418233
36,mse/,1.5633519896405326e-5,1.893560195114745e-5,0.12494541987540914,0.13750492505240378
37,mse/,1.5624109287856686e-5,1.892228752622509e-5,0.1249463851785078,0.1374954246679587
38,mse/,1.561668717132389e-5,1.8907733889109277e-5,0.12493918611263552,0.13746611392000255
39,mse/,1.560699954244241e-5,1.888475286357075e-5,0.1249205171765341,0.13740647335316586
40,mse/,1.5595522619134007e-5,1.884151413691712e-5,0.12488177295538415,0.13726436495820601
41,mse/,1.560852780118576e-5,1.8813140128872787e-5,0.12485860468626751,0.13716098087003084
42,mse/,1.5714316888908416e-5,1.8868449564418132e-5,0.12481126808638647,0.13678907341218502
43,mse/,1.5583656932498803e-5,1.87302306602209e-5,0.12480022503916335,0.13680401942533213
44,mse/,1.5557707930364277e-5,1.863041123489722e-5,0.12473052589768863,0.13649324384213757
45,mse/,1.557507429817878e-5,1.85981097938424e-5,0.12469835176382972,0.13637486931263776
46,mse/,1.5472045903580755e-5,1.838338447845278e-5,0.12438666352921623,0.13558532307941132
47,mse/,1.5011051385309847e-5,1.7561349200762165e-5,0.12224875678545365,0.13232940169443122
48,mse/,1.4941357007439709e-5,1.7492702874649072e-5,0.12216594490059107,0.13222082670586607
49,mse/,1.533310196888109e-5,1.767338846241549e-5,0.12187340459807816,0.1317494874093372
50,mse/,1.5169507218331833e-5,1.7634828664124496e-5,0.1222721445878329,0.132332562421078
51,mse/,1.513114980901771e-5,1.7644949876965565e-5,0.12247627370594354,0.13259190191948908
52,mse/,1.5131470420259156e-5,1.7643122123884017e-5,0.12248035002562803,0.13258606485257315
53,mse/,1.5131470331965368e-5,1.764312211172207e-5,0.12248035002562803,0.13258606485257315
54,mse/,1.5131801529000479e-5,1.7642908825468666e-5,0.12248135521465578,0.132584998182673
55,mse/,1.51318016006715e-5,1.764290887416529e-5,0.12248135521465578,0.132584998182673
56,mse/,1.5131800612048018e-5,1.764290940496478e-5,0.12248134678460906,0.132584998200409
57,mse/,1.5132750699496149e-5,1.7642542099532874e-5,0.1224828308134971,0.13258213076174563
58,mse/,1.5132753068372564e-5,1.7642508844888295e-5,0.12248283041565015,0.13258199950905886
59,mse/,1.51328069665634e-5,1.7642516933445195e-5,0.12248289322487141,0.13258193278837987
60,mse/,1.513339304989398e-5,1.7642494261016407e-5,0.12248471999410922,0.1325815264268806
61,mse/,1.5133394307343242e-5,1.7642495241648826e-5,0.1224847193763411,0.13258152652182742
62,mse/,1.513368567740765e-5,1.7642265646151172e-5,0.12248628161280674,0.13258105685182509
63,mse/,1.513368567740765e-5,1.7642265646151172e-5,0.12248628161280674,0.13258105685182509
64,mse/,1.5133685686693692e-5,1.764226564615136e-5,0.12248628161280674,0.13258105685182509
65,mse/,1.5667200816855763e-5,1.8006450897449928e-5,0.12249842990141929,0.13258185708885653
66,mse/,1.501097734886436e-5,1.75829803035199e-5,0.12247565328002431,0.13257870057529234
67,mse/,1.4185529571833292e-5,1.7919664992229555e-5,0.11908280260484859,0.13385503785838518
68,mse/,1.4177753495417473e-5,1.793417070463871e-5,0.11902407076464389,0.1339118754206016
69,mse/,1.4205862998970756e-5,1.794175645040544e-5,0.1190370326332039,0.13390497851446398
70,mse/,1.4239286471816072e-5,1.79588428898651e-5,0.11903665759916038,0.13390689877486742
