epochs,test_name,train_loss,test_loss,train_metric,test_metric
28,dropout/,0.0011454417667325616,0.0012230694648917573,8.222147837040473e-7,1.0064816658263176e-6
1,test_1_tanh/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812
2,test_1_tanh/,0.010978281355683763,0.03100525529709401,0.00033196715211347797,0.001655950581783729
3,test_1_tanh/,0.0024666418378304416,0.0076854737105309595,1.5267023594973677e-5,0.0002332089063048195
4,test_1_tanh/,0.002366580680444892,0.00682786567583886,1.1451948326387777e-5,0.0001674683534027329
5,test_1_tanh/,0.002073227845045295,0.00629621593780657,9.803649982004242e-6,0.0001463197510867496
6,test_1_tanh/,0.0011617119663413426,0.0015430192852030065,8.94103890139912e-7,2.475045078743307e-6
7,test_1_tanh/,0.0011465874514260004,0.0012589735396137378,8.190025885318494e-7,1.0417938724364345e-6
8,test_1_tanh/,0.0011457578218998284,0.0012091530025290045,8.197006777608734e-7,9.55304706787895e-7
9,test_1_tanh/,0.0011456987003388315,0.0012106950009682861,8.195260115997141e-7,9.558320908551305e-7
10,test_1_tanh/,0.0011456327752031126,0.0012125943009110795,8.196871024717202e-7,9.619520931707735e-7
11,test_1_tanh/,0.0011455592590232516,0.0012160036899307512,8.202529544074894e-7,9.748338836658494e-7
12,test_1_tanh/,0.0011454798953184034,0.0012219733831730258,8.213036530247757e-7,9.95837040139115e-7
13,test_1_tanh/,0.0011454721165252695,0.0012228599136817518,8.215176097137232e-7,9.994983877952734e-7
14,test_1_tanh/,0.0011454514748789415,0.0012235022686894865,8.220328334562538e-7,1.0055630037797615e-6
15,test_1_tanh/,0.0011454493206837966,0.0012235770717816856,8.220879336733045e-7,1.006224243651396e-6
16,test_1_tanh/,0.0011454472207704412,0.0012236562736105765,8.221435242872338e-7,1.006893764911824e-6
17,test_1_tanh/,0.0011454468592621493,0.0012236704377746196,8.221531545071978e-7,1.0070102804572545e-6
18,test_1_tanh/,0.0011454465700596757,0.001223680832442367,8.221599680178405e-7,1.0070935390574642e-6
19,test_1_tanh/,0.0011454463794421791,0.0012236886830707533,8.221655452700625e-7,1.0071604281149372e-6
20,test_1_tanh/,0.0011454461305781026,0.001223696474932133,8.221711273767775e-7,1.0072273991120231e-6
21,test_1_tanh/,0.0011454459535036937,0.0012237043244444326,8.221767143362222e-7,1.0072944520449034e-6
22,test_1_tanh/,0.0011454428359968531,0.0012232208486407019,8.222038774674299e-7,1.0066583576577946e-6
23,test_1_tanh/,0.0011454425769049305,0.0012228646605934217,8.222266399248974e-7,1.0062132333211636e-6
24,test_1_tanh/,0.0011454420972911896,0.0012229895819650563,8.222190136586869e-7,1.0063733251903454e-6
25,test_1_tanh/,0.001145441979525361,0.0012230977154206834,8.22212716374776e-7,1.0065142709162808e-6
26,test_1_tanh/,0.0011454418200291926,0.0012230643707766995,8.222150751330733e-7,1.0064749378352444e-6
27,test_1_tanh/,0.0011454417667325616,0.0012230694648917573,8.222147837040473e-7,1.0064816658263176e-6
28,test_1_tanh/,0.0011454417667325616,0.0012230694648917573,8.222147837040473e-7,1.0064816658263176e-6
1,test_1_abs/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812
2,test_1_abs/,0.010978281355683763,0.03100525529709401,0.00033196715211347797,0.001655950581783729
3,test_1_abs/,0.0024666418378304416,0.0076854737105309595,1.5267023594973677e-5,0.0002332089063048195
4,test_1_abs/,0.002366580680444892,0.00682786567583886,1.1451948326387777e-5,0.0001674683534027329
5,test_1_abs/,0.002073227845045295,0.00629621593780657,9.803649982004242e-6,0.0001463197510867496
6,test_1_abs/,0.0011617119663413426,0.0015430192852030065,8.94103890139912e-7,2.475045078743307e-6
7,test_1_abs/,0.0011465874514260004,0.0012589735396137378,8.190025885318494e-7,1.0417938724364345e-6
8,test_1_abs/,0.0011457578218998284,0.0012091530025290045,8.197006777608734e-7,9.55304706787895e-7
9,test_1_abs/,0.0011456987003388315,0.0012106950009682861,8.195260115997141e-7,9.558320908551305e-7
10,test_1_abs/,0.0011456327752031126,0.0012125943009110795,8.196871024717202e-7,9.619520931707735e-7
11,test_1_abs/,0.0011455592590232516,0.0012160036899307512,8.202529544074894e-7,9.748338836658494e-7
12,test_1_abs/,0.0011454798953184034,0.0012219733831730258,8.213036530247757e-7,9.95837040139115e-7
13,test_1_abs/,0.0011454721165252695,0.0012228599136817518,8.215176097137232e-7,9.994983877952734e-7
14,test_1_abs/,0.0011454514748789415,0.0012235022686894865,8.220328334562538e-7,1.0055630037797615e-6
15,test_1_abs/,0.0011454493206837966,0.0012235770717816856,8.220879336733045e-7,1.006224243651396e-6
16,test_1_abs/,0.0011454472207704412,0.0012236562736105765,8.221435242872338e-7,1.006893764911824e-6
17,test_1_abs/,0.0011454468592621493,0.0012236704377746196,8.221531545071978e-7,1.0070102804572545e-6
18,test_1_abs/,0.0011454465700596757,0.001223680832442367,8.221599680178405e-7,1.0070935390574642e-6
19,test_1_abs/,0.0011454463794421791,0.0012236886830707533,8.221655452700625e-7,1.0071604281149372e-6
20,test_1_abs/,0.0011454461305781026,0.001223696474932133,8.221711273767775e-7,1.0072273991120231e-6
21,test_1_abs/,0.0011454459535036937,0.0012237043244444326,8.221767143362222e-7,1.0072944520449034e-6
22,test_1_abs/,0.0011454428359968531,0.0012232208486407019,8.222038774674299e-7,1.0066583576577946e-6
23,test_1_abs/,0.0011454425769049305,0.0012228646605934217,8.222266399248974e-7,1.0062132333211636e-6
24,test_1_abs/,0.0011454420972911896,0.0012229895819650563,8.222190136586869e-7,1.0063733251903454e-6
25,test_1_abs/,0.001145441979525361,0.0012230977154206834,8.22212716374776e-7,1.0065142709162808e-6
26,test_1_abs/,0.0011454418200291926,0.0012230643707766995,8.222150751330733e-7,1.0064749378352444e-6
27,test_1_abs/,0.0011454417667325616,0.0012230694648917573,8.222147837040473e-7,1.0064816658263176e-6
28,test_1_abs/,0.0011454417667325616,0.0012230694648917573,8.222147837040473e-7,1.0064816658263176e-6
1,test_1_sigmoid/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812
2,test_1_sigmoid/,0.008889222065539708,0.027428164063116513,0.00019251502323606212,0.0013288065689242793
3,test_1_sigmoid/,0.002613287508706175,0.009930356051757929,1.7947234054188133e-5,0.00027081845071709243
4,test_1_sigmoid/,0.0017865367029893245,0.006596398776757709,1.517701289828e-5,0.00022677286295130138
5,test_1_sigmoid/,0.0006437759887112966,0.0009818457055272246,8.403002835002917e-7,1.6827679459006623e-6
6,test_1_sigmoid/,0.0006256007816089382,0.0006701586256830143,8.235878219891851e-7,9.602596559659337e-7
7,test_1_sigmoid/,0.0006255813395520391,0.0006703773141586953,8.238145646826687e-7,9.634898737754468e-7
8,test_1_sigmoid/,0.0006255676937783589,0.0006705292611211581,8.239782512608155e-7,9.658349289451712e-7
