epochs,test_name,train_loss,test_loss,train_metric,test_metric,pen,conf
15,test_1/,0.0005622148739488612,0.0006085212556316766,8.240140276717639e-7,9.698426523676203e-7,l2,g1_1__g2_0.1
16,test_1/,0.0005622148582452242,0.0006085085621718516,8.240149281765471e-7,9.698198635100199e-7,l2,g1_1__g2_0.1
17,test_1/,0.0005622148582452242,0.0006085085621718516,8.240149281765471e-7,9.698198635100199e-7,l2,g1_1__g2_0.1
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_0.01
2,test_1/,0.003046960514334564,0.011512745323737021,3.521568693999347e-5,0.0004642431847454188,l2,g1_1__g2_0.01
3,test_1/,0.0024040877275605566,0.00888655292515313,2.6521494941361027e-5,0.00037284268382624917,l2,g1_1__g2_0.01
4,test_1/,0.002379096236754437,0.008817525966099768,2.0986993766618484e-5,0.00029507358452899625,l2,g1_1__g2_0.01
5,test_1/,0.0005793483523796317,0.0009368302105569918,8.489336276224459e-7,1.8172767636158824e-6,l2,g1_1__g2_0.01
6,test_1/,0.00056143619446861,0.000610301817673681,8.2080227594937e-7,9.36339941634207e-7,l2,g1_1__g2_0.01
7,test_1/,0.0005610055295585713,0.0006039351871285204,8.213515348542403e-7,9.289518026644138e-7,l2,g1_1__g2_0.01
8,test_1/,0.0005607725781437116,0.000604485937250416,8.227341714498344e-7,9.476152832339872e-7,l2,g1_1__g2_0.01
9,test_1/,0.000560696640078209,0.0006062234825561961,8.244558933361425e-7,9.730803980310652e-7,l2,g1_1__g2_0.01
10,test_1/,0.0005606444847026358,0.000605927955743479,8.237952390568222e-7,9.645677216354212e-7,l2,g1_1__g2_0.01
11,test_1/,0.0005606222164333287,0.0006070851859896107,8.239444046832892e-7,9.694206407044505e-7,l2,g1_1__g2_0.01
12,test_1/,0.0005606178730103515,0.0006073117251122819,8.239747282929803e-7,9.703844877188388e-7,l2,g1_1__g2_0.01
13,test_1/,0.0005606172461367356,0.0006073440910615785,8.239791583518692e-7,9.705235400458326e-7,l2,g1_1__g2_0.01
14,test_1/,0.000560617075894126,0.000607352450113019,8.239803919678168e-7,9.70560550679649e-7,l2,g1_1__g2_0.01
15,test_1/,0.0005606169945191723,0.0006073563469836071,8.239809982925692e-7,9.705781865607995e-7,l2,g1_1__g2_0.01
16,test_1/,0.0005606169945191723,0.0006073563469836071,8.239809982925692e-7,9.705781865607995e-7,l2,g1_1__g2_0.01
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_0.05
2,test_1/,0.0030456936499658927,0.011506662372442696,3.517917273561497e-5,0.00046386739365001403,l2,g1_1__g2_0.05
3,test_1/,0.002400212988549558,0.008869990100961449,2.6415825933656144e-5,0.00037154158110909777,l2,g1_1__g2_0.05
4,test_1/,0.002375404127157594,0.008800998086761247,2.0908211709893825e-5,0.000294081481627137,l2,g1_1__g2_0.05
5,test_1/,0.0005799032377928544,0.0009347755411883592,8.483299790324935e-7,1.8056220982497352e-6,l2,g1_1__g2_0.05
6,test_1/,0.0005621581157665776,0.0006110354708761543,8.208648084689459e-7,9.37058317693389e-7,l2,g1_1__g2_0.05
7,test_1/,0.000561723051307285,0.000604379083205243,8.213421826989087e-7,9.281519264456199e-7,l2,g1_1__g2_0.05
8,test_1/,0.0005614884417279316,0.0006048812815376917,8.227125113759176e-7,9.464888240462892e-7,l2,g1_1__g2_0.05
9,test_1/,0.0005614049199460157,0.0006065982011913436,8.24450404443748e-7,9.721117438772724e-7,l2,g1_1__g2_0.05
10,test_1/,0.0005613574490368389,0.0006063076620341787,8.237923090246415e-7,9.636481048033006e-7,l2,g1_1__g2_0.05
11,test_1/,0.0005613351961970753,0.0006074683875203371,8.23938846736473e-7,9.684915142219614e-7,l2,g1_1__g2_0.05
12,test_1/,0.0005613300094704596,0.0006077403112957786,8.23974510734282e-7,9.696423296696028e-7,l2,g1_1__g2_0.05
13,test_1/,0.0005613294595635703,0.0006079428424654718,8.240012025791733e-7,9.704954363382514e-7,l2,g1_1__g2_0.05
14,test_1/,0.0005613287679805056,0.0006076469231997024,8.239940833977576e-7,9.696357747324696e-7,l2,g1_1__g2_0.05
15,test_1/,0.0005613279781726872,0.0006075791491894079,8.240071983540034e-7,9.69615390877292e-7,l2,g1_1__g2_0.05
16,test_1/,0.0005613271803069056,0.000607511572486315,8.240204044916076e-7,9.695964847321191e-7,l2,g1_1__g2_0.05
17,test_1/,0.0005613269714127558,0.0006074937324896616,8.240238820834596e-7,9.695913980751523e-7,l2,g1_1__g2_0.05
18,test_1/,0.0005613269661929384,0.0006074811873245457,8.240262510872948e-7,9.69586894783216e-7,l2,g1_1__g2_0.05
19,test_1/,0.0005613267754271026,0.0006073159815152396,8.24038516123001e-7,9.69297216810217e-7,l2,g1_1__g2_0.05
