ID,initial_separation,mA,mB,spinA,spinB,q,e
SXS:BBH:1361,16.6950250840487,0.500000809814,0.500000844185,"[-3.12411748029e-08, -2.71650929523e-08, -6.39273815009e-06]","[3.15130360805e-08, 2.85019281059e-08, -6.60907033441e-06]",0.999999931258116,0.3326288
SXS:BBH:0211,16.5,0.500086003739,0.500082317028,"[1.84985343883e-10, 1.37111890337e-09, -0.899685955589]","[8.674358627e-09, 1.47911538195e-09, 0.89978825606]",1.0000073722082836,0.0002801
SXS:BBH:0217,16.6,0.500002503577,0.500001389212,"[3.03245501684e-09, -4.19192995146e-09, -0.599969375919]","[-1.02795425003e-09, 4.46831562953e-09, 0.599983044885]",1.0000022287238077,0.0001926
