epochs,test_name,train_losses,test_losses,train_metric,test_metric
1,architecture_1__2_afterTFM/,0.00011915124581996163,0.0001006722473833197,0.14366182929125698,0.13314166825030643
2,architecture_1__2_afterTFM/,0.0001179780504393573,0.00010007580986939848,0.1436461933389985,0.1331028848398632
3,architecture_1__2_afterTFM/,0.00011856132858637605,9.784047498158537e-5,0.14548222170404274,0.13283409333738677
4,architecture_1__2_afterTFM/,0.00011372493105920239,8.775683449751003e-5,0.14312227550160775,0.12616627942586472
5,architecture_1__2_afterTFM/,0.00011481698854301519,0.0001426119225440462,0.15134274719197638,0.1721158282680599
6,architecture_1__2_afterTFM/,6.496160859078533e-5,9.98915921158216e-5,0.09893949546864969,0.12615268724354686
7,architecture_1__2_afterTFM/,9.540717027906765e-5,0.00012642669469287515,0.13063253236245528,0.15587188052625817
8,architecture_1__2_afterTFM/,8.155683063579658e-5,0.00011542555678835379,0.114326562584495,0.14295210293061475
9,architecture_1__2_afterTFM/,7.777327388747287e-5,0.0001121311454433854,0.11003724392174062,0.1393763710544256
10,architecture_1__2_afterTFM/,7.78340264262596e-5,0.00011219011947405053,0.1100935903339728,0.1394323801566258
11,architecture_1__2_afterTFM/,8.244722507399497e-5,0.00011655797748046434,0.1142670898301243,0.1432275934465182
12,architecture_1__2_afterTFM/,8.018978721537919e-5,0.00011491749333173966,0.1108820513774013,0.14070900979543827
13,architecture_1__2_afterTFM/,7.255683284142453e-5,0.00010466672701896894,0.10240945548579397,0.12110787678734862
14,architecture_1__2_afterTFM/,7.372346226310374e-5,0.00010928902579695275,0.1008520654222846,0.1260498209484092
15,architecture_1__2_afterTFM/,7.431355545432132e-5,0.00011102674189447518,0.101899183008881,0.1276373403239254
16,architecture_1__2_afterTFM/,6.721511524923252e-5,0.00010359204472114677,0.11003278866938507,0.13079629816004773
17,architecture_1__2_afterTFM/,8.08326558277832e-5,0.00011278733139554319,0.11595338279320333,0.13275711741406218
18,architecture_1__2_afterTFM/,8.178526429629719e-5,0.00010846806071201444,0.1200682072814568,0.13124277780484858
19,architecture_1__2_afterTFM/,8.358347157505432e-5,0.00010470930849501484,0.12531050112632658,0.1331546634536804
20,architecture_1__2_afterTFM/,8.432072330978624e-5,0.00010446360426967838,0.12619336906188136,0.13352567769050214
21,architecture_1__2_afterTFM/,8.645263122352895e-5,0.0001051436833886194,0.12762006068017323,0.1348169192261542
22,architecture_1__2_afterTFM/,8.642746824694778e-5,0.00010521336036358198,0.12761885565641984,0.13488609280285205
23,architecture_1__2_afterTFM/,8.64064960840549e-5,0.0001051734150978887,0.1275887165230276,0.13484334172474804
24,architecture_1__2_afterTFM/,8.64064960840549e-5,0.0001051734150978887,0.1275887165230276,0.13484334172474804
25,architecture_1__2_afterTFM/,8.64064960840549e-5,0.0001051734150978887,0.1275887165230276,0.13484334172474804
26,architecture_1__2_afterTFM/,8.644265441006796e-5,0.00010513554969083243,0.1276298660207375,0.13483785134850268
27,architecture_1__2_afterTFM/,8.661409049291593e-5,0.00010536957814597783,0.12762809283642904,0.13484416587636322
28,architecture_1__2_afterTFM/,8.152024174747382e-5,0.00010830509128438893,0.12414368883875988,0.13670328181574826
29,architecture_1__2_afterTFM/,8.266737025464174e-5,0.00010683186340435828,0.12513808780114102,0.1357689734187934
30,architecture_1__2_afterTFM/,8.253233849046239e-5,0.00010700976477296275,0.12500160522833015,0.13590101346284622
31,architecture_1__2_afterTFM/,8.228524507313521e-5,0.00010722609429451013,0.12480201388960424,0.13607034223358894
32,architecture_1__2_afterTFM/,8.226806967943517e-5,0.00010711750262302768,0.1248291424125737,0.13602170545909653
33,architecture_1__2_afterTFM/,8.266392434090883e-5,0.00010633669810168366,0.12523276152830368,0.13540759441354674
34,architecture_1__2_afterTFM/,8.241041546443223e-5,0.00010641274057356678,0.12507749047543407,0.13546109419452326
35,architecture_1__2_afterTFM/,8.239486175884878e-5,0.00010665890701399705,0.12488744520344762,0.13540454085712356
36,architecture_1__2_afterTFM/,8.173797965453018e-5,0.00010640004154336118,0.12459641222781168,0.1352755078056043
37,architecture_1__2_afterTFM/,8.085049024712686e-5,0.00010602406768873109,0.12406182641535535,0.13486687454427687
38,architecture_1__2_afterTFM/,8.039395668175678e-5,0.00010560782488094829,0.12362059093396235,0.1344323608051409
39,architecture_1__2_afterTFM/,8.106474089106471e-5,0.00010661582073267989,0.12125002994291192,0.13147349231288954
40,architecture_1__2_afterTFM/,8.066805592574362e-5,0.00010610340978751578,0.12126775454299675,0.13135234795182454
41,architecture_1__2_afterTFM/,7.99179148176763e-5,0.0001052096431636708,0.12128035655146045,0.13119322657043622
42,architecture_1__2_afterTFM/,7.882340264636071e-5,0.00010392844100606383,0.12130096933159001,0.1310227336881706
43,architecture_1__2_afterTFM/,7.879253509541244e-5,0.0001034964846223997,0.12138250613200516,0.13075052766401943
44,architecture_1__2_afterTFM/,7.932583913059036e-5,0.00010378095482648865,0.12142075142657976,0.13056136310075325
45,architecture_1__2_afterTFM/,7.940384267178984e-5,0.00010351964810737583,0.12138229326704884,0.13012280500634935
46,architecture_1__2_afterTFM/,7.908056236782373e-5,0.00010319004534082371,0.12136924259913089,0.13009249282736599
47,architecture_1__2_afterTFM/,7.90922363483707e-5,0.00010326787422627994,0.12132899704071937,0.1300791655949366
48,architecture_1__2_afterTFM/,7.909320803540318e-5,0.00010324201070170726,0.12134499314051785,0.1300862662155669
49,architecture_1__2_afterTFM/,7.909970987426126e-5,0.00010323408870624625,0.12135445822410271,0.13009134130996783
50,architecture_1__2_afterTFM/,7.909959754879145e-5,0.00010323428988358341,0.12135470985689834,0.13009168971172963
51,architecture_1__2_afterTFM/,7.910006125723552e-5,0.00010323374099615353,0.12135502304697285,0.13009188262031526
52,architecture_1__2_afterTFM/,7.909971259361172e-5,0.0001032325669898884,0.1213554044640742,0.13009153667462392
53,architecture_1__2_afterTFM/,7.909970865880763e-5,0.00010323257168809402,0.12135540430602798,0.13009153662390815
54,architecture_1__2_afterTFM/,7.909970836965285e-5,0.00010323225901033425,0.12135540430602798,0.13009138384165447
55,architecture_1__2_afterTFM/,7.909970733959019e-5,0.00010323228059692921,0.12135540431477196,0.13009137478873045
56,architecture_1__2_afterTFM/,7.909970267203846e-5,0.00010323228683580397,0.12135540389321564,0.1300913979366497
57,architecture_1__2_afterTFM/,7.909970267203846e-5,0.00010323228683580397,0.12135540389321564,0.1300913979366497
58,architecture_1__2_afterTFM/,7.909970267203846e-5,0.00010323228683580397,0.12135540389321564,0.1300913979366497
59,architecture_1__2_afterTFM/,8.154734170050254e-5,0.00010583040206969345,0.12126405439920358,0.1300643465781982
60,architecture_1__2_afterTFM/,7.873617659334294e-5,0.0001029685086580337,0.1213106844914886,0.13011021938366388
61,architecture_1__2_afterTFM/,7.627304464204759e-5,0.00010514964291520799,0.11886112231728382,0.13129332762288845
62,architecture_1__2_afterTFM/,7.517901117793841e-5,0.00010459687165026396,0.11850466362957528,0.13155103638042023
63,architecture_1__2_afterTFM/,7.526816694945629e-5,0.0001048185652577488,0.11843452719411696,0.13159074981866384
64,architecture_1__2_afterTFM/,7.512948154836893e-5,0.00010449792026851074,0.11852753552852151,0.13153375872804637
65,architecture_1__2_afterTFM/,7.442105908664238e-5,0.00010368973186286553,0.1185421001541646,0.1315468155876827
66,architecture_1__2_afterTFM/,7.423521315218986e-5,0.00010351825575164184,0.11851756621845516,0.13156500164519536
67,architecture_1__2_afterTFM/,7.401849940159234e-5,0.0001032493552524267,0.118525786450824,0.1315674142299894
68,architecture_1__2_afterTFM/,7.396457651068744e-5,0.00010317608950124337,0.11852866794311509,0.13156925171312972
69,architecture_1__2_afterTFM/,7.409880406384631e-5,0.00010326783327441266,0.11851876562258906,0.13157561148661168
70,architecture_1__2_afterTFM/,7.498634621933864e-5,0.00010408028884054708,0.11850781701908164,0.13158864592367184
71,architecture_1__2_afterTFM/,7.638229986688076e-5,0.00010544631828275126,0.11850396047452853,0.13159563268559787
72,architecture_1__2_afterTFM/,7.558281073463856e-5,0.00010465814519129081,0.11850264516850001,0.1315899179415694
73,architecture_1__2_afterTFM/,7.509720470692558e-5,0.00010418921716456765,0.11849055502552754,0.13158096418868032
74,architecture_1__2_afterTFM/,7.37451632808053e-5,0.0001031072195861453,0.11826775915792075,0.13144095537493242
75,architecture_1__2_afterTFM/,7.392104425057533e-5,0.00010334844823604595,0.11815570829289905,0.13136577709581929
76,architecture_1__2_afterTFM/,7.485092932079186e-5,0.00010454936071910199,0.11788298757719255,0.13118081338341242
77,architecture_1__2_afterTFM/,7.651754268736614e-5,0.0001060467473148527,0.11710559208989584,0.13046319952302035
78,architecture_1__2_afterTFM/,7.832012511136832e-5,0.00010774038327143277,0.11686898876831175,0.12989212526112917
79,architecture_1__2_afterTFM/,8.261894287213099e-5,0.00011149562260609785,0.11685936279008677,0.12919160609546484
80,architecture_1__2_afterTFM/,7.842488121538444e-5,0.00010748301548668621,0.11671222448849929,0.12941533980141415
81,architecture_1__2_afterTFM/,7.625474669932167e-5,0.00010519327746603128,0.11645466556018401,0.12933020173751206
82,architecture_1__2_afterTFM/,7.294273617613887e-5,0.00010193502459537902,0.11589627460834999,0.12907958902060096
83,architecture_1__2_afterTFM/,7.193645078854471e-5,0.00010085673677854724,0.11567546110381173,0.12888794476253157
84,architecture_1__2_afterTFM/,7.191151796635248e-5,9.925882912023192e-5,0.11444613005165147,0.1261477124276924
85,architecture_1__2_afterTFM/,7.10310876479892e-5,9.89742441851057e-5,0.1145378178044913,0.127146974647738
86,architecture_1__2_afterTFM/,7.008085269637947e-5,9.837154205447937e-5,0.114589854672659,0.12737149069582498
87,architecture_1__2_afterTFM/,7.051100981924132e-5,9.847649285489186e-5,0.11448516935689569,0.12691623814471029
88,architecture_1__2_afterTFM/,7.108954608526355e-5,9.915960453797276e-5,0.11436208243388132,0.12685688626072317
89,architecture_1__2_afterTFM/,7.112261300892356e-5,9.921505228149401e-5,0.11431762693144656,0.12679972123461092
90,architecture_1__2_afterTFM/,7.046407064502593e-5,9.861594227118861e-5,0.11430148207178051,0.12680742599191022
91,architecture_1__2_afterTFM/,6.930602630887495e-5,9.766683431398286e-5,0.11422368477096734,0.12670169719069677
92,architecture_1__2_afterTFM/,6.940016423426572e-5,9.772823649926616e-5,0.11423655112479413,0.12671723128912715
93,architecture_1__2_afterTFM/,6.953691490567561e-5,9.780000740284166e-5,0.11426113459205564,0.1267204190268883
94,architecture_1__2_afterTFM/,6.94060878645623e-5,9.77213103412441e-5,0.11424080995287206,0.12670514873025346
95,architecture_1__2_afterTFM/,6.915819147854952e-5,9.76248428596598e-5,0.11418107129164239,0.12667270982525322
96,architecture_1__2_afterTFM/,6.916682602059652e-5,9.76226028677207e-5,0.1141888612688375,0.12667567024585985
97,architecture_1__2_afterTFM/,6.913017223503141e-5,9.760525042531996e-5,0.11419691063668501,0.12667210058513606
98,architecture_1__2_afterTFM/,6.913860334119198e-5,9.761281637925795e-5,0.11420860816676684,0.1266864583606554
99,architecture_1__2_afterTFM/,6.915689010470567e-5,9.763465566187911e-5,0.11421743132170581,0.12670419906707497
