time,true_waveform_real,pred_waveform_real,pred_waveform_imag,error_real
5221.759107477467,-0.09281722490541572,-0.14042770011422567,0.000329106680983314,0.047610475208809955
5223.322173276,-0.08711415079225338,-0.13922742987592465,0.010753371165064009,0.05211327908367128
5224.885239074534,-0.08097368964030481,-0.13802715963762072,0.021177635649144128,0.057053469997315906
5226.448304873067,-0.07439907128338441,-0.13606418573779572,0.031488927442705386,0.06166511445441131
5228.0113706716,-0.06744287341958048,-0.1333072258220992,0.04162025171064353,0.06586435240251871
5229.574436470134,-0.06012999657639363,-0.1298283111399645,0.05152823294023031,0.06969831456357085
5231.137502268667,-0.05250005954553437,-0.1255908324559142,0.06114479695275134,0.07309077291037984
5232.7005680672,-0.04459687821175572,-0.12064652241077667,0.0704110138834736,0.07604964419902095
5234.263633865734,-0.036450254160056116,-0.11503278367550576,0.07929102740574705,0.07858252951544964
5235.826699664267,-0.028113960597536448,-0.10874520351660602,0.08771690293236019,0.08063124291906958
5237.3897654628,-0.019621507622820878,-0.1018612104919972,0.0956580451089239,0.08223970286917633
5238.952831261334,-0.01102266358479952,-0.09438287295201041,0.10305649406720094,0.08336020936721089
5240.515897059867,-0.002358900947948671,-0.0863685086654941,0.10986917367674952,0.08400960771754543
5242.0789628584,0.006323581240625838,-0.07787074509816631,0.11607619144272968,0.08419432633879215
5243.642028656934,0.014981054112170357,-0.06892217907637536,0.12161609167219245,0.08390323318854573
5245.205094455467,0.0235656462286594,-0.05958951896592966,0.12647657217250963,0.08315516519458906
5246.768160254,0.03203783525949044,-0.04989678886898823,0.13060898573956833,0.08193462412847867
5248.331226052534,0.040345997935120614,-0.03993476362841617,0.13402185603466849,0.08028076156353678
5249.894291851067,0.04845248290012125,-0.02973356481569787,0.1366667289046705,0.07818604771581912
5251.4573576495995,0.05631488180052485,-0.019347534697110647,0.13853053502306759,0.0756624164976355
5253.020423448133,0.06388443025941085,-0.008871959422242894,0.13962833150421505,0.07275638968165374
5254.583489246666,0.07113460530614349,0.0016812250843864967,0.1399122887406747,0.069453380221757
5256.146555045199,0.0780093256086557,0.01222093410885444,0.13941082432989063,0.06578839149980126
5257.709620843733,0.08448703694883009,0.022700554899603417,0.13812488570465686,0.06178648204922667
5259.272686642266,0.09053151931290122,0.033057484871663385,0.1360372439020134,0.05747403444123784
5260.8357524408,0.0960963108706516,0.043230331404117535,0.1331877722173421,0.05286597946653406
5262.398818239333,0.10117491619098656,0.053168611888491216,0.12956583444162423,0.04800630430249535
5263.961884037866,0.105713694124591,0.0628072536387831,0.12521410881948916,0.0429064404858079
5265.5249498364,0.10971061077628771,0.07209188604775306,0.12014515601252454,0.037618724728534655
5267.088015634933,0.11313296115709447,0.08097887248969225,0.11438108841493078,0.032154088667402214
5268.651081433466,0.11595806427383099,0.08941238396203344,0.10796012945855353,0.026545680311797548
5270.214147232,0.11819141630795618,0.097330327722495,0.100932135913925,0.02086108858546118
5271.777213030533,0.11978235401169877,0.10470987233151426,0.09329214673005679,0.015072481680184519
5273.340278829066,0.12075840517010404,0.11148912231186392,0.08514619706845081,0.009269282858240122
5274.9033446276,0.12109607159557405,0.11764132981363729,0.07648854439799915,0.0034547417819367626
5276.466410426133,0.12078798614967842,0.12313608388605055,0.06738148671886666,-0.0023480977363721234
5278.029476224666,0.11985794990551997,0.1279053475925421,0.057890799397341694,-0.008047397687022131
5279.5925420232,0.11827617900290266,0.13195787515394866,0.04805801567349332,-0.013681696151046002
5281.155607821733,0.11607771579584904,0.1352707028141009,0.037927081905674,-0.019192987018251853
5282.718673620266,0.11326590144624805,0.1377944619239823,0.02758605203381361,-0.024528560477734232
5284.2817394188,0.10984033032741447,0.1395309165850041,0.017072881179386955,-0.029690586257589635
5285.844805217333,0.10584458699239593,0.14047099677675998,0.006433683114367949,-0.03462640978436404
5287.407871015866,0.1012737739893273,0.14059832032854233,-0.0042414147794294305,-0.03932454633921503
5288.9709368143995,0.09616267607643658,0.13991773163685542,-0.014896212227971734,-0.04375505556041884
5290.534002612932,0.09054740335843567,0.138432919787119,-0.025483423011391396,-0.04788551642868333
5292.097068411465,0.08443214877408418,0.1361461190851089,-0.03594022350015184,-0.05171397031102472
5293.660134209999,0.07786904520417923,0.13307478464602673,-0.04619451017336462,-0.05520573944184751
5295.223200008532,0.07089167056780858,0.12920734221832522,-0.05619309497909752,-0.05831567165051664
5296.786265807065,0.06351969831633206,0.12462467048967876,-0.06589649115103988,-0.061104972173346705
5298.349331605599,0.055809391110819125,0.11928018784641131,-0.07520487700365437,-0.0634707967355922
5299.912397404132,0.04779648049637436,0.11326166699101406,-0.08410009557063647,-0.0654651864946397
5301.475463202665,0.03951640929120683,0.10657043771436231,-0.09250930040476739,-0.06705402842315547
5303.038529001199,0.03102275481608016,0.09924133750994328,-0.10040081798060929,-0.06821858269386312
5304.601594799732,0.022354244078307328,0.09134616361052546,-0.10772935340632149,-0.06899191953221813
5306.164660598265,0.013558481561333161,0.08288661476908595,-0.11440396080701837,-0.06932813320775279
5307.727726396799,0.004683855661600598,0.07395270777104743,-0.12045815126312186,-0.06926885210944683
5309.290792195332,-0.004224388844696116,0.06457596798802741,-0.12579268114183945,-0.06880035683272352
5310.853857993865,-0.0131171225164077,0.054792662644893214,-0.1304160528029584,-0.06790978516130092
5312.416923792399,-0.02194891652224401,0.04468506339031723,-0.13427085218351456,-0.06663397991256123
5313.979989590932,-0.030667406242513615,0.03430832567669467,-0.13734538617177072,-0.06497573191920829
5315.543055389465,-0.03922995315661489,0.023718531971047636,-0.13962874672207456,-0.06294848512766253
