niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,architecture_1_act__relu/,0.0001183932157220083,0.00010044692783939857,0.1436302963337455,0.13308763406150081
2,architecture_1_act__relu/,0.00011767553761453709,9.981416676149646e-5,0.1436440576780088,0.13311967486756668
3,architecture_1_act__relu/,0.0001181853702628796,9.173934887786895e-5,0.14279037855053037,0.12593113568032768
4,architecture_1_act__relu/,0.00010548050837192884,0.00013264352540386996,0.13263251636020634,0.15339625151254263
5,architecture_1_act__relu/,6.932745960552947e-5,0.00010456214534061122,0.10180928629584782,0.13113905412558954
6,architecture_1_act__relu/,7.896454569900657e-5,0.00011309690064895916,0.11135403386488456,0.1404824100315063
7,architecture_1_act__relu/,7.81022574344558e-5,0.00011241159130797611,0.1104071451808378,0.13970250207300056
8,architecture_1_act__relu/,7.650395522531101e-5,0.00011114541500398661,0.10826635218972624,0.13791980374428395
9,architecture_1_act__relu/,7.634298932352216e-5,0.00011104304973315336,0.10816791540143716,0.1378647492964284
10,architecture_1_act__relu/,7.458701550877621e-5,0.00011016151648248012,0.10667994445215624,0.13704105904725616
11,architecture_1_act__relu/,7.4842399219249e-5,0.0001102952500667069,0.10480954736765863,0.1355940111908178
12,architecture_1_act__relu/,0.00012581812063812303,0.0001531557766145029,0.10689904399665817,0.129094468522456
13,architecture_1_act__relu/,8.810436199485688e-5,0.00011660785049958342,0.11872611832787427,0.1332992663485412
14,architecture_1_act__relu/,8.705413183130355e-5,0.0001118139874686253,0.116239875472734,0.12851701400208537
15,architecture_1_act__relu/,8.862318007364822e-5,0.00010657576624221776,0.12561582349832345,0.13199806591658714
16,architecture_1_act__relu/,8.586885441867305e-5,0.0001047712512059416,0.12710990470512454,0.1343594979112747
17,architecture_1_act__relu/,8.615283029769342e-5,0.00010497032067437413,0.1273116099147044,0.13454791156860785
18,architecture_1_act__relu/,8.660130355192461e-5,0.00010521240739873348,0.12762875526002504,0.1348015147280237
19,architecture_1_act__relu/,8.668998806164723e-5,0.000105367629890688,0.1276750725045548,0.1348963469035098
20,architecture_1_act__relu/,8.672801274109382e-5,0.00010543168926428428,0.12768994350586255,0.13492917035580518
21,architecture_1_act__relu/,8.672801274109382e-5,0.00010543168926428428,0.12768994350586255,0.13492917035580518
22,architecture_1_act__relu/,8.672801274109382e-5,0.00010543168926428428,0.12768994350586255,0.13492917035580518
23,architecture_1_act__relu/,8.964685154319269e-5,0.00010790509764920604,0.1277047795142893,0.13492425769968353
24,architecture_1_act__relu/,8.651776022793982e-5,0.00010522594145483709,0.1277160662883887,0.13493111409010708
25,architecture_1_act__relu/,8.249022265442486e-5,0.00010698176844675826,0.12499378479210305,0.13596020296389522
26,architecture_1_act__relu/,8.240394569591123e-5,0.00010702941692954794,0.12492525865184195,0.13602130389472364
27,architecture_1_act__relu/,8.244664324865983e-5,0.00010701666964455588,0.12495092888050538,0.13599518101687574
28,architecture_1_act__relu/,8.248772958034464e-5,0.000107019291194684,0.12496457114074119,0.13597831935712673
29,architecture_1_act__relu/,8.25799905076651e-5,0.00010706917687373671,0.12496971254674753,0.13595805529048793
30,architecture_1_act__relu/,8.364475327020259e-5,0.00010778715456858924,0.12500805825740557,0.13585254030864471
31,architecture_1_act__relu/,8.311140092536894e-5,0.00010738816699095204,0.12498978349938442,0.13588066592687253
32,architecture_1_act__relu/,8.276168300449911e-5,0.00010712521369132554,0.1249502036842156,0.13589037810777255
